year,month,site,plot_number,treatment,normalized_par,soil_moisture,exotic_cover
2019,1,1,11,no ,0.248508946,23.83333333,8
2019,1,1,12,full ,0.123609394,23.1,21
2019,1,1,13,full ,0.069590086,26.9,46
2019,1,1,14,no ,0.220472441,25.53333333,23
2019,1,1,15,half ,0.085413929,29.76666667,20
2019,1,1,16,full ,0.080087767,23,43
2019,1,1,17,half ,0.089634146,27.56666667,41
2019,1,1,18,no ,0.137371552,26.5,55
2019,1,2,19,full ,0.024539877,18.93333333,91
2019,1,2,20,no ,0.497454882,14.83333333,42
2019,1,2,21,half ,0.577655311,21.63333333,17
2019,1,2,22,full ,0.08716707,22.46666667,41
2019,1,2,23,half ,0.151883354,25.46666667,23
2019,1,2,24,no ,0.108662994,21.2,41
2019,1,2,25,no ,0.356914651,20.56666667,38
2019,1,2,26,half ,0.160047421,16.63333333,42
2019,1,2,27,full ,0.099178774,21.1,60
2019,1,2,28,half ,0.559677419,22.63333333,16
2019,1,2,29,no ,0.346363187,18.05,46
2019,1,2,30,full ,0.458755427,21.325,22
2019,1,2,31,no ,0.176322418,19.9,55
2019,1,2,32,half ,0.270381837,23.06666667,35
2019,1,2,33,full ,0.093346574,26.7,72
2019,1,2,34,half ,0.397371082,25.36666667,33
2019,1,2,35,full ,0.317713697,25.83333333,32
2019,1,2,36,no ,0.065227593,20.43333333,61
2019,3,1,1,no ,0.091318591,15.56666667,40
2019,3,1,2,full ,0.589930822,26.76666667,43
2019,3,1,3,full ,0.594787576,22.56666667,27
2019,3,1,4,half ,0.440108192,18.86666667,30
2019,3,1,5,half ,0.362896979,23.7,57
2019,3,1,6,no ,0.36935341,18.63333333,40
2019,3,1,7,no ,0.351351351,15.13333333,35
2019,3,1,8,half ,0.398148148,21.3,40
2019,3,1,9,full ,0.651113913,20.06666667,44
2019,3,1,10,half ,0.297479748,24.66666667,32
2019,3,1,11,no ,0.671319797,17,8
2019,3,1,12,full ,0.381053526,26.66666667,21
2019,3,1,13,full ,0.292694276,27.73333333,46
2019,3,1,14,no ,0.34237151,22.33333333,23
2019,3,1,15,half ,0.232807215,24.93333333,20
2019,3,1,16,full ,0.612024666,26.4,43
2019,3,1,17,half ,0.164155844,24.8,41
2019,3,1,18,no ,0.368090452,20.76666667,55
2019,3,2,19,full ,0.284409875,13.7,91
2019,3,2,20,no ,0.288948069,12.16666667,42
2019,3,2,21,half ,0.412001341,18.1,17
2019,3,2,22,full ,0.267565649,18.73333333,41
2019,3,2,23,half ,0.606875934,20.53333333,23
2019,3,2,24,no ,0.304301075,16.46666667,41
2019,3,2,25,no ,0.559000316,14.96666667,38
2019,3,2,26,half ,0.507714388,15.33333333,42
2019,3,2,27,full ,0.545810493,21.53333333,60
2019,3,2,28,half ,0.515394913,14.3,16
2019,3,2,29,no ,0.562682216,13.2,46
2019,3,2,30,full ,0.815390046,14.16666667,22
2019,3,2,31,no ,0.499094531,13.1,55
2019,3,2,32,half ,0.783113245,14.26666667,35
2019,3,2,33,full ,0.58621988,15.1,72
2019,3,2,34,half ,0.493501805,15.43333333,33
2019,3,2,35,full ,0.531028738,18.13333333,32
2019,3,2,36,no ,0.302999318,15.03333333,61
