"","timepoint","seedlingID","0","1"
"229",1,"29_left_CEOL_blue",NA,NA
"230",1,"29_left_CEOL_green",NA,NA
"231",1,"29_right_CEOL_blue",1.57,NA
"232",1,"29_right_CEOL_green",1,NA
"233",1,"3_left_CEOL_blue",NA,2.15
"234",1,"3_left_CEOL_green",NA,3.66
"235",1,"3_right_CEOL_blue",NA,1.16
"236",1,"3_right_CEOL_green",NA,1.28
"237",1,"30_left_CEOL_blue",NA,2.09
"238",1,"30_left_CEOL_green",NA,1.97
"239",1,"30_right_CEOL_blue",2.51,NA
"240",1,"30_right_CEOL_green",NA,2.51
"241",1,"31_left_CEOL_blue",NA,2.5
"242",1,"31_left_CEOL_green",NA,2.22
"243",1,"31_right_CEOL_blue",NA,2.08
"244",1,"31_right_CEOL_green",NA,NA
"245",1,"32_left_CEOL_blue",NA,2.45
"246",1,"32_left_CEOL_green",NA,NA
"247",1,"32_right_CEOL_blue",2,NA
"248",1,"32_right_CEOL_green",NA,NA
"249",1,"33_left_CEOL_blue",NA,2.67
"250",1,"33_left_CEOL_green",NA,2.98
"251",1,"33_right_CEOL_blue",NA,1.67
"252",1,"33_right_CEOL_green",NA,1.91
"253",1,"34_left_CEOL_blue",NA,2.08
"254",1,"34_left_CEOL_green",NA,1.84
"255",1,"34_right_CEOL_blue",NA,2.32
"256",1,"34_right_CEOL_green",1.11,NA
"257",1,"35_left_CEOL_blue",NA,1.45
"258",1,"35_left_CEOL_green",2.46,NA
"259",1,"35_right_CEOL_blue",NA,2.12
"260",1,"35_right_CEOL_green",NA,1.53
"261",1,"36_left_CEOL_blue",NA,NA
"262",1,"36_left_CEOL_green",NA,2.4
"263",1,"36_right_CEOL_blue",NA,0.45
"264",1,"36_right_CEOL_green",NA,1.41
"265",1,"4_left_CEOL_blue",NA,2.7
"266",1,"4_left_CEOL_green",NA,2.65
"267",1,"4_right_CEOL_blue",NA,3.66
"268",1,"4_right_CEOL_green",NA,1.9
"269",1,"5_left_CEOL_blue",NA,1.6
"270",1,"5_left_CEOL_green",NA,1.13
"271",1,"5_right_CEOL_blue",NA,1.99
"272",1,"5_right_CEOL_green",NA,1.7
"273",1,"6_left_CEOL_blue",NA,2.32
"274",1,"6_left_CEOL_green",1.12,NA
"275",1,"6_right_CEOL_blue",NA,1.43
"276",1,"6_right_CEOL_green",NA,3.56
"277",1,"7_left_CEOL_blue",NA,3.32
"278",1,"7_left_CEOL_green",NA,2.3
"279",1,"7_right_CEOL_blue",NA,2.59
"280",1,"7_right_CEOL_green",NA,1.79
"281",1,"8_left_CEOL_blue",NA,1.6
"282",1,"8_left_CEOL_green",NA,2.25
"283",1,"8_right_CEOL_blue",NA,0.97
"284",1,"8_right_CEOL_green",NA,2.15
"285",1,"9_left_CEOL_blue",NA,3.14
"286",1,"9_left_CEOL_green",NA,1.92
"287",1,"9_right_CEOL_blue",NA,0.75
"288",1,"9_right_CEOL_green",NA,2.12
"289",2,"1_left_CEOL_blue",NA,NA
"290",2,"1_left_CEOL_green",NA,NA
"291",2,"1_right_CEOL_blue",NA,1.64
"292",2,"1_right_CEOL_green",NA,1.173
"293",2,"10_left_CEOL_blue",NA,2.73
"294",2,"10_left_CEOL_green",NA,3.83
"295",2,"10_right_CEOL_blue",NA,1.16
"296",2,"10_right_CEOL_green",NA,3.07
"297",2,"11_left_CEOL_blue",NA,NA
"298",2,"11_left_CEOL_green",NA,NA
"299",2,"11_right_CEOL_blue",NA,NA
"300",2,"11_right_CEOL_green",NA,NA
"301",2,"12_left_CEOL_blue",NA,NA
"302",2,"12_left_CEOL_green",NA,1.99
"303",2,"12_right_CEOL_blue",NA,NA
"304",2,"12_right_CEOL_green",NA,1.22
"305",2,"13_left_CEOL_blue",NA,NA
"306",2,"13_left_CEOL_green",NA,NA
"307",2,"13_right_CEOL_blue",NA,NA
"308",2,"13_right_CEOL_green",NA,NA
"309",2,"14_left_CEOL_blue",NA,3.31
"310",2,"14_left_CEOL_green",NA,NA
"311",2,"14_right_CEOL_blue",NA,NA
"312",2,"14_right_CEOL_green",NA,NA
"313",2,"15_left_CEOL_blue",NA,1.42
"314",2,"15_left_CEOL_green",NA,1.84
"315",2,"15_right_CEOL_blue",NA,0.83
"316",2,"15_right_CEOL_green",NA,NA
"317",2,"16_left_CEOL_blue",NA,NA
"318",2,"16_left_CEOL_green",NA,0.97
