"","seedlingID","0_1","1_0","1_1","2_0","2_1","3_0"
"37","18_left_CEOL_blue",NA,NA,1,NA,0.58,NA
"38","18_left_CEOL_green",NA,NA,NA,NA,NA,NA
"39","18_right_CEOL_blue",NA,NA,NA,NA,NA,NA
"40","18_right_CEOL_green",NA,NA,NA,NA,NA,NA
"41","19_left_CEOL_blue",NA,NA,3.86,NA,NA,NA
"42","19_left_CEOL_green",NA,NA,2.32,NA,NA,NA
"43","19_right_CEOL_blue",NA,NA,3,NA,NA,NA
"44","19_right_CEOL_green",NA,NA,3.12,NA,NA,NA
"45","2_left_CEOL_blue",NA,NA,2.74,NA,2.01,NA
"46","2_left_CEOL_green",NA,NA,2,NA,NA,NA
"47","2_right_CEOL_blue",NA,NA,2,NA,NA,NA
"48","2_right_CEOL_green",NA,NA,1.3,NA,1.01,NA
"49","20_left_CEOL_blue",NA,2.14,NA,NA,NA,NA
"50","20_left_CEOL_green",NA,NA,NA,NA,NA,NA
"51","20_right_CEOL_blue",NA,0.87,NA,NA,NA,NA
"52","20_right_CEOL_green",NA,NA,1.93,NA,NA,NA
"53","21_left_CEOL_blue",NA,NA,NA,NA,NA,NA
"54","21_left_CEOL_green",NA,NA,NA,NA,NA,NA
"55","21_right_CEOL_blue",NA,NA,2.11,NA,NA,NA
"56","21_right_CEOL_green",NA,NA,4.11,NA,NA,NA
"57","22_left_CEOL_blue",NA,NA,2.38,1,NA,NA
"58","22_left_CEOL_green",NA,3.04,NA,1.8,NA,NA
"59","22_right_CEOL_blue",NA,1.63,NA,1.7,NA,NA
"60","22_right_CEOL_green",NA,3.36,NA,2.8,NA,NA
"61","23_left_CEOL_blue",NA,NA,1.08,NA,0.669,NA
"62","23_left_CEOL_green",NA,NA,1.04,NA,NA,NA
"63","23_right_CEOL_blue",NA,NA,NA,NA,NA,NA
"64","23_right_CEOL_green",NA,NA,3.37,NA,NA,NA
"65","24_left_CEOL_blue",NA,1.74,NA,NA,NA,NA
"66","24_left_CEOL_green",NA,NA,NA,NA,NA,NA
"67","24_right_CEOL_blue",NA,2.6,NA,NA,NA,NA
"68","24_right_CEOL_green",NA,0.48,NA,NA,NA,NA
"69","25_left_CEOL_blue",NA,NA,2.87,NA,NA,NA
"70","25_left_CEOL_green",NA,NA,1.98,NA,NA,NA
"71","25_right_CEOL_blue",NA,NA,5.11,NA,NA,NA
"72","25_right_CEOL_green",NA,NA,1.41,NA,NA,NA
"73","26_left_CEOL_blue",NA,NA,2.84,1.32,NA,NA
"74","26_left_CEOL_green",NA,NA,1.55,1.39,NA,NA
"75","26_right_CEOL_blue",NA,NA,1.77,1,NA,NA
"76","26_right_CEOL_green",NA,NA,4.19,NA,4.3,NA
"77","27_left_CEOL_blue",NA,1.49,NA,NA,NA,NA
"78","27_left_CEOL_green",NA,NA,1.78,1.82,NA,NA
"79","27_right_CEOL_blue",NA,NA,1.47,NA,NA,NA
"80","27_right_CEOL_green",NA,NA,1.53,NA,NA,NA
"81","28_left_CEOL_blue",NA,NA,1.59,2.14,NA,NA
"82","28_left_CEOL_green",NA,1.52,NA,2.9,NA,NA
"83","28_right_CEOL_blue",NA,3.34,NA,1.53,NA,NA
"84","28_right_CEOL_green",NA,NA,2.43,NA,NA,NA
"85","29_left_CEOL_blue",NA,NA,NA,NA,NA,NA
"86","29_left_CEOL_green",NA,NA,NA,NA,NA,NA
"87","29_right_CEOL_blue",NA,1.57,NA,NA,NA,NA
"88","29_right_CEOL_green",NA,1,NA,NA,NA,NA
"89","3_left_CEOL_blue",NA,NA,2.15,NA,NA,NA
"90","3_left_CEOL_green",NA,NA,3.66,NA,NA,NA
"91","3_right_CEOL_blue",NA,NA,1.16,NA,3.41,NA
"92","3_right_CEOL_green",NA,NA,1.28,NA,5.63,NA
"93","30_left_CEOL_blue",NA,NA,2.09,NA,3.56,NA
"94","30_left_CEOL_green",NA,NA,1.97,NA,NA,NA
"95","30_right_CEOL_blue",NA,2.51,NA,NA,NA,NA
"96","30_right_CEOL_green",NA,NA,2.51,NA,NA,NA
"97","31_left_CEOL_blue",NA,NA,2.5,NA,NA,NA
"98","31_left_CEOL_green",NA,NA,2.22,NA,NA,NA
"99","31_right_CEOL_blue",NA,NA,2.08,NA,NA,NA
"100","31_right_CEOL_green",NA,NA,NA,NA,NA,NA
"101","32_left_CEOL_blue",NA,NA,2.45,NA,NA,NA
"102","32_left_CEOL_green",NA,NA,NA,NA,NA,NA
"103","32_right_CEOL_blue",NA,2,NA,NA,NA,NA
"104","32_right_CEOL_green",NA,NA,NA,NA,NA,NA
"105","33_left_CEOL_blue",NA,NA,2.67,NA,3.26,NA
"106","33_left_CEOL_green",NA,NA,2.98,NA,NA,NA
"107","33_right_CEOL_blue",NA,NA,1.67,NA,4.677,NA
"108","33_right_CEOL_green",NA,NA,1.91,NA,2.625,NA
"109","34_left_CEOL_blue",NA,NA,2.08,NA,NA,NA
"110","34_left_CEOL_green",NA,NA,1.84,NA,NA,NA
"111","34_right_CEOL_blue",NA,NA,2.32,NA,3.65,NA
"112","34_right_CEOL_green",NA,1.11,NA,NA,NA,NA
"113","35_left_CEOL_blue",NA,NA,1.45,1.883,NA,NA
"114","35_left_CEOL_green",NA,2.46,NA,NA,NA,NA
"115","35_right_CEOL_blue",NA,NA,2.12,NA,2.129,NA
"116","35_right_CEOL_green",NA,NA,1.53,2.081,NA,NA
"117","36_left_CEOL_blue",NA,NA,NA,NA,NA,NA
"118","36_left_CEOL_green",NA,NA,2.4,NA,NA,NA
"119","36_right_CEOL_blue",NA,NA,0.45,NA,NA,NA
"120","36_right_CEOL_green",NA,NA,1.41,NA,NA,NA
"121","4_left_CEOL_blue",NA,NA,2.7,NA,NA,NA
"122","4_left_CEOL_green",NA,NA,2.65,NA,1.36,NA
"123","4_right_CEOL_blue",NA,NA,3.66,NA,NA,NA
"124","4_right_CEOL_green",NA,NA,1.9,NA,1.99,NA
"125","5_left_CEOL_blue",NA,NA,1.6,NA,2.456,NA
"126","5_left_CEOL_green",NA,NA,1.13,NA,1.89,NA
"127","5_right_CEOL_blue",NA,NA,1.99,NA,1.33,NA
"128","5_right_CEOL_green",NA,NA,1.7,NA,NA,NA
"129","6_left_CEOL_blue",NA,NA,2.32,NA,NA,NA
"130","6_left_CEOL_green",NA,1.12,NA,NA,NA,NA
"131","6_right_CEOL_blue",NA,NA,1.43,NA,NA,NA
"132","6_right_CEOL_green",NA,NA,3.56,NA,NA,NA
"133","7_left_CEOL_blue",NA,NA,3.32,NA,NA,NA
"134","7_left_CEOL_green",NA,NA,2.3,NA,0.53,NA
"135","7_right_CEOL_blue",NA,NA,2.59,NA,NA,NA
"136","7_right_CEOL_green",NA,NA,1.79,NA,NA,NA
"137","8_left_CEOL_blue",NA,NA,1.6,NA,NA,NA
"138","8_left_CEOL_green",NA,NA,2.25,NA,NA,NA
"139","8_right_CEOL_blue",NA,NA,0.97,NA,NA,NA
"140","8_right_CEOL_green",NA,NA,2.15,NA,NA,NA
"141","9_left_CEOL_blue",NA,NA,3.14,NA,NA,NA
"142","9_left_CEOL_green",NA,NA,1.92,NA,0.815,NA
"143","9_right_CEOL_blue",NA,NA,0.75,NA,NA,NA
"144","9_right_CEOL_green",NA,NA,2.12,NA,NA,NA
