,timepoint,seedlingID,dead,alive
512,dec,27_right_CEOL_green,NA,NA
513,dec,28_left_CEOL_blue,NA,NA
514,dec,28_left_CEOL_green,NA,NA
515,dec,28_right_CEOL_blue,NA,NA
516,dec,28_right_CEOL_green,NA,NA
517,dec,29_left_CEOL_blue,NA,NA
518,dec,29_left_CEOL_green,NA,NA
519,dec,29_right_CEOL_blue,NA,NA
520,dec,29_right_CEOL_green,NA,NA
521,dec,3_left_CEOL_blue,NA,NA
522,dec,3_left_CEOL_green,NA,NA
523,dec,3_right_CEOL_blue,NA,NA
524,dec,3_right_CEOL_green,NA,NA
525,dec,30_left_CEOL_blue,NA,NA
526,dec,30_left_CEOL_green,NA,NA
527,dec,30_right_CEOL_blue,NA,NA
528,dec,30_right_CEOL_green,NA,NA
529,dec,31_left_CEOL_blue,NA,NA
530,dec,31_left_CEOL_green,NA,NA
531,dec,31_right_CEOL_blue,NA,NA
532,dec,31_right_CEOL_green,NA,NA
533,dec,32_left_CEOL_blue,NA,NA
534,dec,32_left_CEOL_green,NA,NA
535,dec,32_right_CEOL_blue,NA,NA
536,dec,32_right_CEOL_green,NA,NA
537,dec,33_left_CEOL_blue,NA,NA
538,dec,33_left_CEOL_green,NA,NA
539,dec,33_right_CEOL_blue,NA,NA
540,dec,33_right_CEOL_green,NA,NA
541,dec,34_left_CEOL_blue,NA,NA
542,dec,34_left_CEOL_green,NA,NA
543,dec,34_right_CEOL_blue,NA,NA
544,dec,34_right_CEOL_green,NA,NA
545,dec,35_left_CEOL_blue,NA,NA
546,dec,35_left_CEOL_green,NA,NA
547,dec,35_right_CEOL_blue,NA,NA
548,dec,35_right_CEOL_green,NA,NA
549,dec,36_left_CEOL_blue,NA,NA
550,dec,36_left_CEOL_green,NA,NA
551,dec,36_right_CEOL_blue,NA,NA
552,dec,36_right_CEOL_green,NA,NA
553,dec,4_left_CEOL_blue,NA,NA
554,dec,4_left_CEOL_green,NA,NA
555,dec,4_right_CEOL_blue,NA,NA
556,dec,4_right_CEOL_green,NA,NA
557,dec,5_left_CEOL_blue,NA,NA
558,dec,5_left_CEOL_green,NA,NA
559,dec,5_right_CEOL_blue,NA,NA
560,dec,5_right_CEOL_green,NA,NA
561,dec,6_left_CEOL_blue,NA,NA
562,dec,6_left_CEOL_green,NA,NA
563,dec,6_right_CEOL_blue,NA,NA
564,dec,6_right_CEOL_green,NA,NA
565,dec,7_left_CEOL_blue,NA,NA
566,dec,7_left_CEOL_green,NA,NA
567,dec,7_right_CEOL_blue,NA,NA
568,dec,7_right_CEOL_green,NA,NA
569,dec,8_left_CEOL_blue,NA,NA
570,dec,8_left_CEOL_green,NA,NA
571,dec,8_right_CEOL_blue,NA,NA
572,dec,8_right_CEOL_green,NA,NA
573,dec,9_left_CEOL_blue,NA,NA
574,dec,9_left_CEOL_green,NA,NA
575,dec,9_right_CEOL_blue,NA,NA
576,dec,9_right_CEOL_green,NA,NA
