date,time,weather,plot,treatment,weeding,reading#,ambient_PAR_1,below_PAR_1,Avgerage_PAR_ambient,STDV_ambient,SQRT_ambient,STDERROR_ambient,Avgerage_PAR_below,STDV_below,SQRT_below,STDERROR_below,Notes,,,,,,,,,,,,,,
4/26/2018,1:00-2:20 pm,sunny and still,ENH08,,half removal,2,946,213,855,128.6934342,1.414213562,91,199,19.79898987,1.414213562,14,,,,,,,,,,,,,,,
4/26/2018,1:00-2:20 pm,sunny and still,ENH09,,full removal,1,1556,712,,,,,,,,,,,,,,,,,,,,,,,
4/26/2018,1:00-2:20 pm,sunny and still,ENH09,,full removal,2,1307,579,1431.5,176.0695885,1.414213562,124.5,645.5,94.0452019,1.414213562,66.5,,,,,,,,,,,,,,,
4/26/2018,1:00-2:20 pm,sunny and still,ENH10,,half removal,1,1147,469,,,,,,,,,,,,,,,,,,,,,,,
4/26/2018,1:00-2:20 pm,sunny and still,ENH10,,half removal,2,1458,631,1302.5,219.9102089,1.414213562,155.5,550,114.5512986,1.414213562,81,,,,,,,,,,,,,,,
4/26/2018,1:00-2:20 pm,sunny and still,ENH11,,no removal,1,1386,548,,,,,,,,,,,,,,,,,,,,,,,
4/26/2018,1:00-2:20 pm,sunny and still,ENH11,,no removal,2,1216,621,1301,120.2081528,1.414213562,85,584.5,51.61879503,1.414213562,36.5,,,,,,,,,,,,,,,
4/26/2018,1:00-2:20 pm,sunny and still,ENH12,,full removal,1,954,309,,,,,,,,,,,,,,,,,,,,,,,
4/26/2018,1:00-2:20 pm,sunny and still,ENH12,,full removal,2,920,574,937,24.04163056,1.414213562,17,441.5,187.383297,1.414213562,132.5,,,,,,,,,,,,,,,
4/26/2018,1:00-2:20 pm,sunny and still,ENH13,,full removal,1,1152,250,,,,,,,,,,,,,,,,,,,,,,,
4/26/2018,1:00-2:20 pm,sunny and still,ENH13,,full removal,2,1018,257,1085,94.75230868,1.414213562,67,253.5,4.949747468,1.414213562,3.5,,,,,,,,,,,,,,,
4/26/2018,1:00-2:20 pm,sunny and still,ENH14,,no removal,1,1064,277,,,,,,,,,,,,,,,,,,,,,,,
4/26/2018,1:00-2:20 pm,sunny and still,ENH14,,no removal,2,1101,317,1082.5,26.1629509,1.414213562,18.5,297,28.28427125,1.414213562,20,,,,,,,,,,,,,,,
4/26/2018,1:00-2:20 pm,sunny and still,ENH15,,half removal,1,1353,321,,,,,,,,,,,,,,,,,,,,,,,
4/26/2018,1:00-2:20 pm,sunny and still,ENH15,,half removal,2,1146,470,1249.5,146.3711037,1.414213562,103.5,395.5,105.3589104,1.414213562,74.5,,,,,,,,,,,,,,,
4/26/2018,1:00-2:20 pm,sunny and still,ENH16,,full removal,1,1003,150,,,,,,,,,,,,,,,,,,,,,,,
4/26/2018,1:00-2:20 pm,sunny and still,ENH16,,full removal,2,1068,323,1035.5,45.96194078,1.414213562,32.5,236.5,122.3294731,1.414213562,86.5,,,,,,,,,,,,,,,
4/26/2018,1:00-2:20 pm,sunny and still,ENH17,,half removal,1,1069,257,,,,,,,,,,,,,,,,,,,,,,,
4/26/2018,1:00-2:20 pm,sunny and still,ENH17,,half removal,2,1278,284,1173.5,147.7853173,1.414213562,104.5,270.5,19.09188309,1.414213562,13.5,,,,,,,,,,,,,,,
4/26/2018,1:00-2:20 pm,sunny and still,ENH18,,no removal,1,1347,667,,,,,,,,,,,,,,,,,,,,,,,
4/26/2018,1:00-2:20 pm,sunny and still,ENH18,,no removal,2,1388,671,1367.5,28.99137803,1.414213562,20.5,669,2.828427125,1.414213562,2,,,,,,,,,,,,,,,
4/26/2018,11:00 am - 12:30 pm,sunny and still,ENH19,,full removal,1,1674,405,,,,,,,,,,,,,,,,,,,,,,,
4/26/2018,11:00 am - 12:30 pm,sunny and still,ENH19,,full removal,2,1662,458,1668,8.485281374,1.414213562,6,431.5,37.4766594,1.414213562,26.5,,,,,,,,,,,,,,,
4/26/2018,11:00 am - 12:30 pm,sunny and still,ENH20,,no removal,1,1628,297,,,,,,,,,,,,,,,,,,,,,,,
4/26/2018,11:00 am - 12:30 pm,sunny and still,ENH20,,no removal,2,1530,227,1579,69.29646456,1.414213562,49,262,49.49747468,1.414213562,35,,,,,,,,,,,,,,,
4/26/2018,11:00 am - 12:30 pm,sunny and still,ENH21,,half removal,1,1642,103,,,,,,,,,,,,,,,,,,,,,,,
4/26/2018,11:00 am - 12:30 pm,sunny and still,ENH21,,half removal,2,1612,773,1627,21.21320344,1.414213562,15,438,473.7615434,1.414213562,335,,,,,,,,,,,,,,,
4/26/2018,11:00 am - 12:30 pm,sunny and still,ENH22,,full removal,1,1468,396,,,,,,,,,,,,,,,,,,,,,,,
4/26/2018,11:00 am - 12:30 pm,sunny and still,ENH22,,full removal,2,1506,367,1487,26.87005769,1.414213562,19,381.5,20.50609665,1.414213562,14.5,,,,,,,,,,,,,,,
4/26/2018,11:00 am - 12:30 pm,sunny and still,ENH23,,half removal,1,1605,529,,,,,,,,,,,,,,,,,,,,,,,
4/26/2018,11:00 am - 12:30 pm,sunny and still,ENH23,,half removal,2,1532,620,1568.5,51.61879503,1.414213562,36.5,574.5,64.34671709,1.414213562,45.5,,,,,,,,,,,,,,,
4/26/2018,11:00 am - 12:30 pm,sunny and still,ENH24,,no removal,1,1464,656,,,,,,,,,,,,,,,,,,,,,,,
4/26/2018,11:00 am - 12:30 pm,sunny and still,ENH24,,no removal,2,1504,762,1484,28.28427125,1.414213562,20,709,74.95331881,1.414213562,53,,,,,,,,,,,,,,,
4/26/2018,11:00 am - 12:30 pm,sunny and still,ENH25,,no removal,1,1521,235,,,,,,,,,,,,,,,,,,,,,,,
4/26/2018,11:00 am - 12:30 pm,sunny and still,ENH25,,no removal,2,1704,503,1612.5,129.400541,1.414213562,91.5,369,189.5046174,1.414213562,134,,,,,,,,,,,,,,,
4/26/2018,11:00 am - 12:30 pm,sunny and still,ENH26,,half removal,1,1482,483,,,,,,,,,,,,,,,,,,,,,,,
4/26/2018,11:00 am - 12:30 pm,sunny and still,ENH26,,half removal,2,1688,1134,1585,145.6639969,1.414213562,103,808.5,460.3265146,1.414213562,325.5,,,,,,,,,,,,,,,
4/26/2018,11:00 am - 12:30 pm,sunny and still,ENH27,,full removal,1,1575,542,,,,,,,,,,,,,,,,,,,,,,,
4/26/2018,11:00 am - 12:30 pm,sunny and still,ENH27,,full removal,2,1663,971,1619,62.22539674,1.414213562,44,756.5,303.3488091,1.414213562,214.5,,,,,,,,,,,,,,,
4/26/2018,11:00 am - 12:30 pm,sunny and still,ENH28,,half removal,1,1637,516,,,,,,,,,,,,,,,,,,,,,,,
4/26/2018,11:00 am - 12:30 pm,sunny and still,ENH28,,half removal,2,1616,445,1626.5,14.8492424,1.414213562,10.5,480.5,50.20458146,1.414213562,35.5,,,,,,,,,,,,,,,
4/26/2018,11:00 am - 12:30 pm,sunny and still,ENH29,,no removal,1,1606,575,,,,,,,,,,,,,,,,,,,,,,,
4/26/2018,11:00 am - 12:30 pm,sunny and still,ENH29,,no removal,2,1551,1110,1578.5,38.89087297,1.414213562,27.5,842.5,378.3021279,1.414213562,267.5,,,,,,,,,,,,,,,
4/26/2018,11:00 am - 12:30 pm,sunny and still,ENH30,,full removal,1,1683,913,,,,,,,,,,,,,,,,,,,,,,,
4/26/2018,11:00 am - 12:30 pm,sunny and still,ENH30,,full removal,2,1711,1203,1697,19.79898987,1.414213562,14,1058,205.0609665,1.414213562,145,,,,,,,,,,,,,,,
4/26/2018,11:00 am - 12:30 pm,sunny and still,ENH31,,no removal,1,1539,535,,,,,,,,,,,,,,,,,,,,,,,
4/26/2018,11:00 am - 12:30 pm,sunny and still,ENH31,,no removal,2,1572,462,1555.5,23.33452378,1.414213562,16.5,498.5,51.61879503,1.414213562,36.5,,,,,,,,,,,,,,,
4/26/2018,11:00 am - 12:30 pm,sunny and still,ENH32,,half removal,1,1268,964,,,,,,,,,,,,,,,,,,,,,,,
4/26/2018,11:00 am - 12:30 pm,sunny and still,ENH32,,half removal,2,1544,714,1406,195.1614716,1.414213562,138,839,176.7766953,1.414213562,125,,,,,,,,,,,,,,,
4/26/2018,11:00 am - 12:30 pm,sunny and still,ENH33,,full removal,1,1390,283,,,,,,,,,,,,,,,,,,,,,,,
4/26/2018,11:00 am - 12:30 pm,sunny and still,ENH33,,full removal,2,1534,321,1462,101.8233765,1.414213562,72,302,26.87005769,1.414213562,19,,,,,,,,,,,,,,,
4/26/2018,11:00 am - 12:30 pm,sunny and still,ENH34,,half removal,1,1531,1249,,,,,,,,,,,,,,,,,,,,,,,
4/26/2018,11:00 am - 12:30 pm,sunny and still,ENH34,,half removal,2,1573,589,1552,29.69848481,1.414213562,21,919,466.6904756,1.414213562,330,,,,,,,,,,,,,,,
4/26/2018,11:00 am - 12:30 pm,sunny and still,ENH35,,full removal,1,1476,722,,,,,,,,,,,,,,,,,,,,,,,
4/26/2018,11:00 am - 12:30 pm,sunny and still,ENH35,,full removal,2,1401,708,1438.5,53.03300859,1.414213562,37.5,715,9.899494937,1.414213562,7,,,,,,,,,,,,,,,
4/26/2018,11:00 am - 12:30 pm,sunny and still,ENH36,,no removal,1,1564,184,,,,,,,,,,,,,,,,,,,,,,,
4/26/2018,11:00 am - 12:30 pm,sunny and still,ENH36,,no removal,2,1629,199,1596.5,45.96194078,1.414213562,32.5,191.5,10.60660172,1.414213562,7.5,,,,,,,,,,,,,,,
"Jan. 30, 2019",11:40 am - 12:08 pm,"sunny, wispy clouds that moved out of the way (I'm pretty sure they weren't in front of the sun",ENH01,,no removal,1,748,42,,,,,,,,,,,,,,,,,,,,,,,
"Jan. 30, 2019",11:40 am - 12:08 pm,"sunny, wispy clouds that moved out of the way (I'm pretty sure they weren't in front of the sun",ENH01,,no removal,2,882,57,815,94.75230868,1.414213562,67,49.5,10.60660172,1.414213562,7.5,,,,,,,,,,,,,,,
"Jan. 30, 2019",11:40 am - 12:08 pm,"sunny, wispy clouds that moved out of the way (I'm pretty sure they weren't in front of the sun",ENH02,,full removal,1,1099,167,,,,,,,,,,,,,,,,,,,,,,,
"Jan. 30, 2019",11:40 am - 12:08 pm,"sunny, wispy clouds that moved out of the way (I'm pretty sure they weren't in front of the sun",ENH02,,full removal,2,962,335,1030.5,96.87362902,1.414213562,68.5,251,118.7939392,1.414213562,84,,,,,,,,,,,,,,,
"Jan. 30, 2019",11:40 am - 12:08 pm,"sunny, wispy clouds that moved out of the way (I'm pretty sure they weren't in front of the sun",ENH03,,full removal,1,1034,226,,,,,,,,,,,,,,,,,,,,,,,
"Jan. 30, 2019",11:40 am - 12:08 pm,"sunny, wispy clouds that moved out of the way (I'm pretty sure they weren't in front of the sun",ENH03,,full removal,2,991,181,1012.5,30.40559159,1.414213562,21.5,203.5,31.81980515,1.414213562,22.5,,,,,,,,,,,,,,,
"Jan. 30, 2019",11:40 am - 12:08 pm,"sunny, wispy clouds that moved out of the way (I'm pretty sure they weren't in front of the sun",ENH04,,half removal,1,1002,231,,,,,,,,,,,,,,,,,,,,,,,
"Jan. 30, 2019",11:40 am - 12:08 pm,"sunny, wispy clouds that moved out of the way (I'm pretty sure they weren't in front of the sun",ENH04,,half removal,2,988,406,995,9.899494937,1.414213562,7,318.5,123.7436867,1.414213562,87.5,,,,,,,,,,,,,,,
"Jan. 30, 2019",11:40 am - 12:08 pm,"sunny, wispy clouds that moved out of the way (I'm pretty sure they weren't in front of the sun",ENH05,,half removal,1,1003,89,,,,,,,,,,,,,,,,,,,,,,,
"Jan. 30, 2019",11:40 am - 12:08 pm,"sunny, wispy clouds that moved out of the way (I'm pretty sure they weren't in front of the sun",ENH05,,half removal,2,1060,97,1031.5,40.30508653,1.414213562,28.5,93,5.656854249,1.414213562,4,,,,,,,,,,,,,,,
"Jan. 30, 2019",11:40 am - 12:08 pm,"sunny, wispy clouds that moved out of the way (I'm pretty sure they weren't in front of the sun",ENH06,,no removal,1,844,394,,,,,,,,,,,,,,,,,,,,,,,
"Jan. 30, 2019",11:40 am - 12:08 pm,"sunny, wispy clouds that moved out of the way (I'm pretty sure they weren't in front of the sun",ENH06,,no removal,2,860,423,852,11.3137085,1.414213562,8,408.5,20.50609665,1.414213562,14.5,,,,,,,,,,,,,,,
"Jan. 30, 2019",11:40 am - 12:08 pm,"sunny, wispy clouds that moved out of the way (I'm pretty sure they weren't in front of the sun",ENH07,,no removal,1,998,157,,,,,,,,,,,,,,,,,,,,,,,
"Jan. 30, 2019",11:40 am - 12:08 pm,"sunny, wispy clouds that moved out of the way (I'm pretty sure they weren't in front of the sun",ENH07,,no removal,2,1034,93,1016,25.45584412,1.414213562,18,125,45.254834,1.414213562,32,,,,,,,,,,,,,,,
"Jan. 30, 2019",11:40 am - 12:08 pm,"sunny, wispy clouds that moved out of the way (I'm pretty sure they weren't in front of the sun",ENH08,,half removal,1,542,107,,,,,,,,,second reading: 490/57,,,,,,,,,,,,,,
"Jan. 30, 2019",11:40 am - 12:08 pm,"sunny, wispy clouds that moved out of the way (I'm pretty sure they weren't in front of the sun",ENH08,,half removal,2,881,86,711.5,239.7091988,1.414213562,169.5,96.5,14.8492424,1.414213562,10.5,,,,,,,,,,,,,,,
"Jan. 30, 2019",11:40 am - 12:08 pm,"sunny, wispy clouds that moved out of the way (I'm pretty sure they weren't in front of the sun",ENH09,,full removal,1,744,349,,,,,,,,,,,,,,,,,,,,,,,
"Jan. 30, 2019",11:40 am - 12:08 pm,"sunny, wispy clouds that moved out of the way (I'm pretty sure they weren't in front of the sun",ENH09,,full removal,2,737,163,740.5,4.949747468,1.414213562,3.5,256,131.5218613,1.414213562,93,,,,,,,,,,,,,,,
"Jan. 30, 2019",11:40 am - 12:08 pm,"sunny, wispy clouds that moved out of the way (I'm pretty sure they weren't in front of the sun",ENH10,,half removal,1,800,68,,,,,,,,,,,,,,,,,,,,,,,
"Jan. 30, 2019",11:40 am - 12:08 pm,"sunny, wispy clouds that moved out of the way (I'm pretty sure they weren't in front of the sun",ENH10,,half removal,2,876,82,838,53.74011537,1.414213562,38,75,9.899494937,1.414213562,7,,,,,,,,,,,,,,,
"Jan. 30, 2019",11:40 am - 12:08 pm,"sunny, wispy clouds that moved out of the way (I'm pretty sure they weren't in front of the sun",ENH11,,no removal,1,959,151,,,,,,,,,,,,,,,,,,,,,,,
"Jan. 30, 2019",11:40 am - 12:08 pm,"sunny, wispy clouds that moved out of the way (I'm pretty sure they weren't in front of the sun",ENH11,,no removal,2,1053,349,1006,66.46803743,1.414213562,47,250,140.0071427,1.414213562,99,,,,,,,,,,,,,,,
"Jan. 30, 2019",11:40 am - 12:08 pm,"sunny, wispy clouds that moved out of the way (I'm pretty sure they weren't in front of the sun",ENH12,,full removal,1,848,105,,,,,,,,,,,,,,,,,,,,,,,
"Jan. 30, 2019",11:40 am - 12:08 pm,"sunny, wispy clouds that moved out of the way (I'm pretty sure they weren't in front of the sun",ENH12,,full removal,2,770,95,809,55.15432893,1.414213562,39,100,7.071067812,1.414213562,5,,,,,,,,,,,,,,,
"Jan. 30, 2019",11:40 am - 12:08 pm,"sunny, wispy clouds that moved out of the way (I'm pretty sure they weren't in front of the sun",ENH13,,full removal,1,1066,69,,,,,,,,,,,,,,,,,,,,,,,
"Jan. 30, 2019",11:40 am - 12:08 pm,"sunny, wispy clouds that moved out of the way (I'm pretty sure they weren't in front of the sun",ENH13,,full removal,2,1032,77,1049,24.04163056,1.414213562,17,73,5.656854249,1.414213562,4,,,,,,,,,,,,,,,
"Jan. 30, 2019",11:40 am - 12:08 pm,"sunny, wispy clouds that moved out of the way (I'm pretty sure they weren't in front of the sun",ENH14,,no removal,1,953,159,,,,,,,,,,,,,,,,,,,,,,,
"Jan. 30, 2019",11:40 am - 12:08 pm,"sunny, wispy clouds that moved out of the way (I'm pretty sure they weren't in front of the sun",ENH14,,no removal,2,1206,317,1079.5,178.8980156,1.414213562,126.5,238,111.7228714,1.414213562,79,,,,,,,,,,,,,,,
"Jan. 30, 2019",11:40 am - 12:08 pm,"sunny, wispy clouds that moved out of the way (I'm pretty sure they weren't in front of the sun",ENH15,,half removal,1,839,74,,,,,,,,,,,,,,,,,,,,,,,
"Jan. 30, 2019",11:40 am - 12:08 pm,"sunny, wispy clouds that moved out of the way (I'm pretty sure they weren't in front of the sun",ENH15,,half removal,2,683,56,761,110.3086579,1.414213562,78,65,12.72792206,1.414213562,9,,,,,,,,,,,,,,,
"Jan. 30, 2019",11:40 am - 12:08 pm,"sunny, wispy clouds that moved out of the way (I'm pretty sure they weren't in front of the sun",ENH16,,full removal,1,933,111,,,,,,,,,,,,,,,,,,,,,,,
"Jan. 30, 2019",11:40 am - 12:08 pm,"sunny, wispy clouds that moved out of the way (I'm pretty sure they weren't in front of the sun",ENH16,,full removal,2,890,35,911.5,30.40559159,1.414213562,21.5,73,53.74011537,1.414213562,38,,,,,,,,,,,,,,,
"Jan. 30, 2019",11:40 am - 12:08 pm,"sunny, wispy clouds that moved out of the way (I'm pretty sure they weren't in front of the sun",ENH17,,half removal,1,769,92,,,,,,,,,,,,,,,,,,,,,,,
"Jan. 30, 2019",11:40 am - 12:08 pm,"sunny, wispy clouds that moved out of the way (I'm pretty sure they weren't in front of the sun",ENH17,,half removal,2,871,55,820,72.12489168,1.414213562,51,73.5,26.1629509,1.414213562,18.5,,,,,,,,,,,,,,,
"Jan. 30, 2019",11:40 am - 12:08 pm,"sunny, wispy clouds that moved out of the way (I'm pretty sure they weren't in front of the sun",ENH18,,no removal,1,744,113,,,,,,,,,,,,,,,,,,,,,,,
"Jan. 30, 2019",11:40 am - 12:08 pm,"sunny, wispy clouds that moved out of the way (I'm pretty sure they weren't in front of the sun",ENH18,,no removal,2,1105,141,924.5,255.265548,1.414213562,180.5,127,19.79898987,1.414213562,14,,,,,,,,,,,,,,,
25-Jan-19,12:10 pm - 1:09 pm,sunny and still,ENH19,,full removal,1,1047,27,,,,,,,,,grassy!,,,,,,,,,,,,,,
25-Jan-19,12:10 pm - 1:09 pm,sunny and still,ENH19,,full removal,2,1072,25,1059.5,17.67766953,1.414213562,12.5,26,1.414213562,1.414213562,1,grassy!,,,,,,,,,,,,,,
25-Jan-19,12:10 pm - 1:09 pm,sunny and still,ENH20,,no removal,1,1075,563,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-19,12:10 pm - 1:09 pm,sunny and still,ENH20,,no removal,2,1086,512,1080.5,7.778174593,1.414213562,5.5,537.5,36.06244584,1.414213562,25.5,,,,,,,,,,,,,,,
25-Jan-19,12:10 pm - 1:09 pm,sunny and still,ENH21,,half removal,1,988,729,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-19,12:10 pm - 1:09 pm,sunny and still,ENH21,,half removal,2,1008,424,998,14.14213562,1.414213562,10,576.5,215.6675683,1.414213562,152.5,,,,,,,,,,,,,,,
25-Jan-19,12:10 pm - 1:09 pm,sunny and still,ENH22,,full removal,1,839,79,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-19,12:10 pm - 1:09 pm,sunny and still,ENH22,,full removal,2,813,65,826,18.38477631,1.414213562,13,72,9.899494937,1.414213562,7,,,,,,,,,,,,,,,
25-Jan-19,12:10 pm - 1:09 pm,sunny and still,ENH23,,half removal,1,754,137,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-19,12:10 pm - 1:09 pm,sunny and still,ENH23,,half removal,2,892,113,823,97.5807358,1.414213562,69,125,16.97056275,1.414213562,12,,,,,,,,,,,,,,,
25-Jan-19,12:10 pm - 1:09 pm,sunny and still,ENH24,,no removal,1,984,103,,,,,,,,,took reading at 1:15 pm,,,,,,,,,,,,,,
25-Jan-19,12:10 pm - 1:09 pm,sunny and still,ENH24,,no removal,2,1013,114,998.5,20.50609665,1.414213562,14.5,108.5,7.778174593,1.414213562,5.5,took reading at 1:15 pm,,,,,,,,,,,,,,
25-Jan-19,12:10 pm - 1:09 pm,sunny and still,ENH25,,no removal,1,1129,222,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-19,12:10 pm - 1:09 pm,sunny and still,ENH25,,no removal,2,1062,560,1095.5,47.37615434,1.414213562,33.5,391,239.002092,1.414213562,169,,,,,,,,,,,,,,,
25-Jan-19,12:10 pm - 1:09 pm,sunny and still,ENH26,,half removal,1,770,114,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-19,12:10 pm - 1:09 pm,sunny and still,ENH26,,half removal,2,917,156,843.5,103.9446968,1.414213562,73.5,135,29.69848481,1.414213562,21,,,,,,,,,,,,,,,
25-Jan-19,12:10 pm - 1:09 pm,sunny and still,ENH27,,full removal,1,786,90,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-19,12:10 pm - 1:09 pm,sunny and still,ENH27,,full removal,2,797,67,791.5,7.778174593,1.414213562,5.5,78.5,16.26345597,1.414213562,11.5,,,,,,,,,,,,,,,
25-Jan-19,12:10 pm - 1:09 pm,sunny and still,ENH28,,half removal,1,960,91,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-19,12:10 pm - 1:09 pm,sunny and still,ENH28,,half removal,2,900,950,930,42.42640687,1.414213562,30,520.5,607.404725,1.414213562,429.5,,,,,,,,,,,,,,,
25-Jan-19,12:10 pm - 1:09 pm,sunny and still,ENH29,,no removal,1,912,315,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-19,12:10 pm - 1:09 pm,sunny and still,ENH29,,no removal,2,1109,385,1010.5,139.3000359,1.414213562,98.5,350,49.49747468,1.414213562,35,,,,,,,,,,,,,,,
25-Jan-19,12:10 pm - 1:09 pm,sunny and still,ENH30,,full removal,1,1066,572,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-19,12:10 pm - 1:09 pm,sunny and still,ENH30,,full removal,2,1007,379,1036.5,41.71930009,1.414213562,29.5,475.5,136.4716088,1.414213562,96.5,,,,,,,,,,,,,,,
25-Jan-19,12:10 pm - 1:09 pm,sunny and still,ENH31,,no removal,1,1015,195,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-19,12:10 pm - 1:09 pm,sunny and still,ENH31,,no removal,2,970,155,992.5,31.81980515,1.414213562,22.5,175,28.28427125,1.414213562,20,,,,,,,,,,,,,,,
25-Jan-19,12:10 pm - 1:09 pm,sunny and still,ENH32,,half removal,1,1043,200,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-19,12:10 pm - 1:09 pm,sunny and still,ENH32,,half removal,2,895,324,969,104.6518036,1.414213562,74,262,87.68124087,1.414213562,62,,,,,,,,,,,,,,,
25-Jan-19,12:10 pm - 1:09 pm,sunny and still,ENH33,,full removal,1,1003,33,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-19,12:10 pm - 1:09 pm,sunny and still,ENH33,,full removal,2,1011,155,1007,5.656854249,1.414213562,4,94,86.2670273,1.414213562,61,,,,,,,,,,,,,,,
25-Jan-19,12:10 pm - 1:09 pm,sunny and still,ENH34,,half removal,1,948,299,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-19,12:10 pm - 1:09 pm,sunny and still,ENH34,,half removal,2,1030,487,989,57.98275606,1.414213562,41,393,132.9360749,1.414213562,94,,,,,,,,,,,,,,,
25-Jan-19,12:10 pm - 1:09 pm,sunny and still,ENH35,,full removal,1,926,329,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-19,12:10 pm - 1:09 pm,sunny and still,ENH35,,full removal,2,1016,288,971,63.63961031,1.414213562,45,308.5,28.99137803,1.414213562,20.5,,,,,,,,,,,,,,,
25-Jan-19,12:10 pm - 1:09 pm,sunny and still,ENH36,,no removal,1,1101,102,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-19,12:10 pm - 1:09 pm,sunny and still,ENH36,,no removal,2,1030,37,1065.5,50.20458146,1.414213562,35.5,69.5,45.96194078,1.414213562,32.5,second reading: 928/13,,,,,,,,,,,,,,
24-Mar-19,11:00 am - 12:00 pm,"sunny and warm, no breeze",ENH01,,no removal,1,1273,61,,,,,,,,,,,,,,,,,,,,,,,
24-Mar-19,11:00 am - 12:00 pm,"sunny and warm, no breeze",ENH01,,no removal,2,1169,162,1221,73.53910524,1.414213562,52,111.5,71.4177849,1.414213562,50.5,,,,,,,,,,,,,,,
24-Mar-19,11:00 am - 12:00 pm,"sunny and warm, no breeze",ENH02,,full removal,1,1211,556,,,,,,,,,,,,,,,,,,,,,,,
24-Mar-19,11:00 am - 12:00 pm,"sunny and warm, no breeze",ENH02,,full removal,2,1391,979,1301,127.2792206,1.414213562,90,767.5,299.1061684,1.414213562,211.5,,,,,,,,,,,,,,,
24-Mar-19,11:00 am - 12:00 pm,"sunny and warm, no breeze",ENH03,,full removal,1,1350,945,,,,,,,,,,,,,,,,,,,,,,,
24-Mar-19,11:00 am - 12:00 pm,"sunny and warm, no breeze",ENH03,,full removal,2,1451,721,1400.5,71.4177849,1.414213562,50.5,833,158.391919,1.414213562,112,,,,,,,,,,,,,,,
24-Mar-19,11:00 am - 12:00 pm,"sunny and warm, no breeze",ENH04,,half removal,1,1145,595,,,,,,,,,,,,,,,,,,,,,,,
24-Mar-19,11:00 am - 12:00 pm,"sunny and warm, no breeze",ENH04,,half removal,2,1443,544,1294,210.7178208,1.414213562,149,569.5,36.06244584,1.414213562,25.5,,,,,,,,,,,,,,,
