date,plot_number,MAFA_removal,location,species,individual,stem_height_cm,width_1_cm,width_2_cm,condition,alive,dead,notes
5/26/18,1,none,right,CEOL,blue,1.64,1.58,0.87,NA,1,NA,NA
5/26/18,1,none,right,HEAR,s,NA,NA,NA,NA,NA,1,NA
5/26/18,1,none,right,HEAR,c,NA,NA,NA,NA,NA,1,NA
5/26/18,1,none,right,HEAR,r,NA,NA,NA,NA,NA,1,NA
12/12/18,1,none,right,CEOL,green,NA,NA,NA,NA,NA,1,"dead, no seedlings present"
12/12/18,1,none,right,CEOL,blue,NA,NA,NA,NA,NA,1,"dead, no seedlings present"
12/12/18,1,none,right,HEAR,S,NA,NA,NA,NA,NA,1,"dead, no seedlings present"
12/12/18,1,none,right,HEAR,C,NA,NA,NA,NA,NA,1,"dead, no seedlings present"
12/12/18,1,none,right,HEAR,R,NA,NA,NA,NA,NA,1,"dead, no seedlings present"
12/12/18,1,none,right,RHOV,green,NA,NA,NA,NA,NA,1,"dead, no seedlings present"
12/12/18,1,none,right,RHOV,blue,NA,NA,NA,NA,NA,1,"dead, no seedlings present"
12/12/18,1,none,right,SAAP,green,NA,NA,NA,NA,NA,1,"dead, no seedlings alive on right side, Gabe on TDR, Stephanie on seedlings"
12/12/18,1,none,right,SAAP,blue,NA,NA,NA,NA,NA,1,"dead, no seedlings alive on right side"
12/12/18,1,none,left,CEOL,green,NA,NA,NA,NA,NA,1,"dead, no seedlings present"
12/12/18,1,none,left,CEOL,blue,NA,NA,NA,NA,NA,1,"dead, no seedlings present"
12/12/18,1,none,left,HEAR,S,NA,NA,NA,NA,NA,1,"dead, no seedlings present"
12/12/18,1,none,left,HEAR,C,NA,NA,NA,NA,NA,1,"dead, no seedlings present"
12/12/18,1,none,left,HEAR,R,NA,NA,NA,NA,NA,1,"dead, no seedlings present"
12/12/18,1,none,left,RHOV,green,NA,NA,NA,NA,NA,1,"dead, no seedlings present"
12/12/18,1,none,left,RHOV,blue,NA,NA,NA,NA,NA,1,"dead, no seedlings present"
12/12/18,1,none,left,SAAP,green,NA,NA,NA,NA,NA,1,"dead, no seedlings present"
12/12/18,1,none,left,SAAP,blue,NA,NA,NA,NA,NA,1,"dead, no seedlings present"
1/26/19,1,none,top,CEOL,NA,1.8,2.17,1.85,NA,1,NA,"planted Jan 18-25, 2019"
1/26/19,1,none,top,HEAR,NA,8.61,9.33,6.93,NA,1,NA,"planted Jan 18-25, 2019"
1/26/19,1,none,top,RHOV,NA,2.02,3.39,2.82,NA,1,NA,"planted Jan 18-25, 2019"
1/26/19,1,none,top,SAAP,NA,5.12,5.02,4.56,NA,1,NA,"planted Jan 18-25, 2019"
1/26/19,1,none,middle,HEAR,NA,5.98,0.55,4.81,NA,1,NA,"planted Jan 18-25, 2019"
1/26/19,1,none,middle,RHOV,NA,0.96,4.16,3.79,NA,1,NA,"planted Jan 18-25, 2019"
1/26/19,1,none,middle,SAAP,NA,7.32,8.64,4.83,NA,1,NA,"planted Jan 18-25, 2019"
1/26/19,1,none,bottom,CEOL,NA,2.88,2.48,1.92,NA,1,NA,"planted Jan 18-25, 2019"
1/26/19,1,none,bottom,HEAR,NA,7.31,6.75,6.55,NA,1,NA,"planted Jan 18-25, 2019"
1/26/19,1,none,bottom,RHOV,NA,3.02,5.82,4.58,NA,1,NA,"planted Jan 18-25, 2019"
1/26/19,1,none,bottom,SAAP,NA,1.85,2.66,0.9,NA,1,NA,"planted Jan 18-25, 2019"
3/11/19,1,none,top,CEOL,NA,1.63,2.03,1.74,NA,1,NA,NA
3/11/19,1,none,top,HEAR,NA,7.56,7.86,4.6,NA,1,NA,NA
3/11/19,1,none,top,RHOV,NA,2.26,2.22,1.92,NA,1,NA,NA
3/11/19,1,none,top,SAAP,NA,5.79,4.8,1.15,NA,1,NA,NA
3/11/19,1,none,middle,HEAR,NA,6.23,5.06,4.82,NA,1,NA,NA
3/11/19,1,none,middle,RHOV,NA,0.2,3.31,2.06,NA,1,NA,NA
3/11/19,1,none,middle,SAAP,NA,7.8,NA,NA,NA,NA,1,"dead, gray color"
3/11/19,1,none,bottom,CEOL,NA,2.9,3.08,1.05,NA,1,NA,NA
3/11/19,1,none,bottom,HEAR,NA,6.28,6.47,5.52,NA,1,NA,NA
3/11/19,1,none,bottom,RHOV,NA,2.74,5.74,4.51,NA,1,NA,NA
3/11/19,1,none,bottom,SAAP,NA,0.56,0.86,0.33,NA,1,NA,"heavy herbivory, half a green leaf left"
4/30/19,1,none,top,CEOL,NA,2.93,2.81,2.26,NA,1,NA,NA
4/30/19,1,none,top,HEAR,NA,7.82,9.4,6.01,NA,1,NA,NA
4/30/19,1,none,top,RHOV,NA,0.54,2.5,1.29,NA,1,NA,only 1 green leaf
4/30/19,1,none,top,SAAP,NA,3.45,1.54,5.29,NA,NA,1,dead
4/30/19,1,none,middle,HEAR,NA,6.59,5.71,4.44,NA,1,NA,NA
4/30/19,1,none,middle,RHOV,NA,NA,NA,NA,NA,NA,1,missing
4/30/19,1,none,middle,SAAP,NA,NA,NA,NA,NA,NA,1,dead
4/30/19,1,none,bottom,CEOL,NA,7.04,2.85,3.52,NA,1,NA,NA
4/30/19,1,none,bottom,HEAR,NA,7.28,5.67,4.38,NA,1,NA,NA
4/30/19,1,none,bottom,RHOV,NA,5.43,5,4.21,NA,1,NA,NA
4/30/19,1,none,bottom,SAAP,NA,NA,NA,NA,NA,NA,1,dead
6/17/19,1,none,top,CEOL,NA,3.15,3.46,1.14,NA,1,NA,NA
6/17/19,1,none,top,HEAR,NA,5.69,3.4,1.68,NA,1,NA,NA
6/17/19,1,none,top,RHOV,NA,1.97,3.95,0.63,NA,1,NA,NA
6/17/19,1,none,top,SAAP,NA,NA,NA,NA,NA,NA,1,"dd, baby SALE seedling"
6/17/19,1,none,middle,HEAR,NA,6.5,5.78,5.49,NA,1,NA,NA
6/17/19,1,none,middle,RHOV,NA,NA,NA,NA,NA,NA,1,DNP
6/17/19,1,none,middle,SAAP,NA,NA,NA,NA,NA,NA,1,dd
6/17/19,1,none,bottom,CEOL,NA,6.07,3.56,2.31,NA,1,NA,NA
6/17/19,1,none,bottom,HEAR,NA,9.32,7.25,4.92,NA,1,NA,NA
6/17/19,1,none,bottom,RHOV,NA,6.65,7.4,5.34,NA,1,NA,NA
6/17/19,1,none,bottom,SAAP,NA,NA,NA,NA,NA,NA,1,dd
9/19/19,1,none,top,CEOL,NA,3.561,1.601,1.435,NA,1,NA,NA
9/19/19,1,none,top,HEAR,NA,3.725,3.174,2.16,NA,1,NA,herbivory
9/19/19,1,none,top,RHOV,NA,NA,NA,NA,NA,NA,1,DNP
9/19/19,1,none,top,SAAP,NA,NA,NA,NA,NA,NA,1,dead
9/19/19,1,none,middle,HEAR,NA,5.83,4.533,6.762,NA,1,NA,NA
9/19/19,1,none,middle,RHOV,NA,NA,NA,NA,NA,NA,1,DNP
9/19/19,1,none,middle,SAAP,NA,NA,NA,NA,NA,NA,1,dead
9/19/19,1,none,bottom,CEOL,NA,NA,NA,NA,NA,NA,1,dd
9/19/19,1,none,bottom,HEAR,NA,8.636,6.249,5.194,NA,1,NA,crispy
9/19/19,1,none,bottom,RHOV,NA,3.6,5.587,3.584,NA,1,NA,dry
9/19/19,1,none,bottom,SAAP,NA,NA,NA,NA,NA,NA,1,dead
11/23/19,1,none,top,CEOL,NA,2.977,1.651,1.144,NA,1,NA,water stressed
11/23/19,1,none,top,HEAR,NA,NA,NA,NA,NA,NA,1,coudn't find
11/23/19,1,none,top,RHOV,NA,NA,NA,NA,NA,NA,1,DNP
11/23/19,1,none,top,SAAP,NA,NA,NA,NA,NA,NA,1,dd
11/23/19,1,none,middle,HEAR,NA,5.121,5.429,2.268,NA,1,NA,NA
11/23/19,1,none,middle,RHOV,NA,NA,NA,NA,NA,NA,1,DNP
11/23/19,1,none,middle,SAAP,NA,NA,NA,NA,NA,NA,1,dd
11/23/19,1,none,bottom,CEOL,NA,NA,NA,NA,NA,NA,1,dead
11/23/19,1,none,bottom,HEAR,NA,10.701,4.538,2.865,NA,NA,1,dd
11/23/19,1,none,bottom,RHOV,NA,2.866,1.709,0.287,NA,1,NA,NA
11/23/19,1,none,bottom,SAAP,NA,NA,NA,NA,NA,NA,1,dead
3/18/20,1,none,top,CEOL,NA,NA,NA,NA,NA,NA,1,DNP
3/18/20,1,none,top,HEAR,NA,NA,NA,NA,NA,NA,1,NA
3/18/20,1,none,top,RHOV,NA,NA,NA,NA,NA,NA,1,NA
3/18/20,1,none,top,SAAP,NA,NA,NA,NA,NA,NA,1,NA
3/18/20,1,none,middle,HEAR,NA,NA,NA,NA,NA,NA,1,couldn't find
3/18/20,1,none,middle,RHOV,NA,NA,NA,NA,NA,NA,1,NA
3/18/20,1,none,middle,SAAP,NA,NA,NA,NA,NA,NA,1,NA
3/18/20,1,none,bottom,CEOL,NA,NA,NA,NA,NA,NA,1,NA
3/18/20,1,none,bottom,HEAR,NA,NA,NA,NA,NA,NA,1,NA
3/18/20,1,none,bottom,RHOV,NA,NA,NA,NA,NA,NA,1,couldn't find
3/18/20,1,none,bottom,SAAP,NA,NA,NA,NA,NA,NA,1,NA
5/14/20,1,none,top,CEOL,NA,NA,NA,NA,NA,NA,1,NA
5/14/20,1,none,top,HEAR,NA,NA,NA,NA,NA,NA,1,NA
5/14/20,1,none,top,RHOV,NA,NA,NA,NA,NA,NA,1,NA
5/14/20,1,none,top,SAAP,NA,NA,NA,NA,NA,NA,1,NA
5/14/20,1,none,middle,HEAR,NA,NA,NA,NA,NA,NA,1,NA
5/14/20,1,none,middle,RHOV,NA,NA,NA,NA,NA,NA,1,couldn't find
5/14/20,1,none,middle,SAAP,NA,NA,NA,NA,NA,NA,1,NA
5/14/20,1,none,bottom,CEOL,NA,NA,NA,NA,NA,NA,1,NA
5/14/20,1,none,bottom,HEAR,NA,NA,NA,NA,NA,NA,1,NA
5/14/20,1,none,bottom,RHOV,NA,NA,NA,NA,NA,NA,1,NA
5/14/20,1,none,bottom,SAAP,NA,NA,NA,NA,NA,NA,1,NA
10/27/20,1,none,top,CEOL,NA,NA,NA,NA,NA,NA,1,nothing alive
10/27/20,1,none,top,HEAR,NA,NA,NA,NA,NA,NA,1,nothing alive
10/27/20,1,none,top,RHOV,NA,NA,NA,NA,NA,NA,1,nothing alive
10/27/20,1,none,top,SAAP,NA,NA,NA,NA,NA,NA,1,nothing alive
10/27/20,1,none,middle,HEAR,NA,NA,NA,NA,NA,NA,1,nothing alive
10/27/20,1,none,middle,RHOV,NA,NA,NA,NA,NA,NA,1,nothing alive
10/27/20,1,none,middle,SAAP,NA,NA,NA,NA,NA,NA,1,nothing alive
10/27/20,1,none,bottom,CEOL,NA,NA,NA,NA,NA,NA,1,nothing alive
10/27/20,1,none,bottom,HEAR,NA,NA,NA,NA,NA,NA,1,nothing alive
10/27/20,1,none,bottom,RHOV,NA,NA,NA,NA,NA,NA,1,nothing alive
10/27/20,1,none,bottom,SAAP,NA,NA,NA,NA,NA,NA,1,nothing alive
4/12/21,1,none,top,CEOL,NA,NA,NA,NA,NA,NA,1,nothing alive
4/12/21,1,none,top,HEAR,NA,NA,NA,NA,NA,NA,1,nothing alive
4/12/21,1,none,top,RHOV,NA,NA,NA,NA,NA,NA,1,nothing alive
4/12/21,1,none,top,SAAP,NA,NA,NA,NA,NA,NA,1,nothing alive
4/12/21,1,none,middle,HEAR,NA,NA,NA,NA,NA,NA,1,nothing alive
4/12/21,1,none,middle,RHOV,NA,NA,NA,NA,NA,NA,1,nothing alive
4/12/21,1,none,middle,SAAP,NA,NA,NA,NA,NA,NA,1,nothing alive
4/12/21,1,none,bottom,CEOL,NA,NA,NA,NA,NA,NA,1,nothing alive
4/12/21,1,none,bottom,HEAR,NA,NA,NA,NA,NA,NA,1,nothing alive
4/12/21,1,none,bottom,RHOV,NA,NA,NA,NA,NA,NA,1,nothing alive
4/12/21,1,none,bottom,SAAP,NA,NA,NA,NA,NA,NA,1,nothing alive
1/30/18,2,full removal,right,CEOL,green,NA,NA,NA,NA,1,NA,planted 2018
1/30/18,2,full removal,right,CEOL,blue,NA,NA,NA,NA,1,NA,planted 2018
1/30/18,2,full removal,right,HEAR,S,NA,NA,NA,NA,1,NA,planted 2018
1/30/18,2,full removal,right,HEAR,C,NA,NA,NA,NA,1,NA,planted 2018
1/30/18,2,full removal,right,HEAR,R,NA,NA,NA,NA,1,NA,planted 2018
1/30/18,2,full removal,right,RHOV,green,NA,NA,NA,NA,1,NA,planted 2018
1/30/18,2,full removal,right,RHOV,blue,NA,NA,NA,NA,1,NA,planted 2018
1/30/18,2,full removal,right,SAAP,green,NA,NA,NA,NA,1,NA,planted 2018
1/30/18,2,full removal,right,SAAP,blue,NA,NA,NA,NA,1,NA,planted 2018
1/30/18,2,full removal,left,CEOL,green,NA,NA,NA,NA,1,NA,planted 2018
1/30/18,2,full removal,left,CEOL,blue,NA,NA,NA,NA,1,NA,planted 2018
1/30/18,2,full removal,left,HEAR,S,NA,NA,NA,NA,1,NA,planted 2018
1/30/18,2,full removal,left,HEAR,C,NA,NA,NA,NA,1,NA,planted 2018
1/30/18,2,full removal,left,HEAR,R,NA,NA,NA,NA,1,NA,planted 2018
1/30/18,2,full removal,left,RHOV,green,NA,NA,NA,NA,1,NA,planted 2018
1/30/18,2,full removal,left,RHOV,blue,NA,NA,NA,NA,1,NA,planted 2018
1/30/18,2,full removal,left,SAAP,green,NA,NA,NA,NA,1,NA,planted 2018
1/30/18,2,full removal,left,SAAP,blue,NA,NA,NA,NA,1,NA,planted 2018
2/24/18,2,full removal,right,CEOL,green,1.3,3.1,1,NA,1,NA,NA
2/24/18,2,full removal,right,CEOL,blue,2,2.8,1.9,NA,1,NA,NA
2/24/18,2,full removal,right,HEAR,S,8.7,6.2,3.4,NA,1,NA,NA
2/24/18,2,full removal,right,HEAR,C,4.6,8.2,6.1,NA,1,NA,a little stressed; dry
2/24/18,2,full removal,right,HEAR,R,3,8.6,4.3,NA,1,NA,some herbivory
2/24/18,2,full removal,right,RHOV,green,1.4,2.6,1.7,NA,1,NA,stressed
2/24/18,2,full removal,right,RHOV,blue,1.9,4.8,1.5,NA,1,NA,stressed
2/24/18,2,full removal,right,SAAP,green,2.2,1.9,1.4,NA,1,NA,NA
2/24/18,2,full removal,right,SAAP,blue,0.3,0.5,0.3,NA,NA,1,dead
2/24/18,2,full removal,left,CEOL,green,2,2.65,2.2,NA,1,NA,a little crispy
2/24/18,2,full removal,left,CEOL,blue,2.74,1.35,1.03,NA,1,NA,a little stressed
2/24/18,2,full removal,left,HEAR,S,9.67,6.89,3.712,NA,1,NA,"stressed, white spots"
2/24/18,2,full removal,left,HEAR,C,2.83,6.29,4.29,NA,1,NA,a little stressed
2/24/18,2,full removal,left,HEAR,R,5.16,4.78,2.83,NA,1,NA,stressed
2/24/18,2,full removal,left,RHOV,green,1.57,3.43,1.22,NA,1,NA,a little stressed/wilted
2/24/18,2,full removal,left,RHOV,blue,1.01,2.5,2.42,NA,1,NA,NA
2/24/18,2,full removal,left,SAAP,green,2.07,1.91,1.46,NA,1,NA,a little stressed
2/24/18,2,full removal,left,SAAP,blue,1.21,1.88,1.16,NA,NA,1,"dry, might be dead"
5/26/18,2,full removal,left,SAAP,green,2.78,1.58,1.478,NA,1,NA,NA
5/26/18,2,full removal,left,SAAP,blue,NA,NA,NA,NA,NA,1,NA
5/26/18,2,full removal,left,RHOV,green,NA,NA,NA,NA,NA,1,NA
5/26/18,2,full removal,left,RHOV,blue,0.98,1.29,0.78,NA,1,NA,NA
5/26/18,2,full removal,left,CEOL,green,NA,NA,NA,NA,NA,1,NA
5/26/18,2,full removal,left,CEOL,blue,2.01,1.19,0.76,NA,1,NA,NA
5/26/18,2,full removal,left,HEAR,s,8.77,5.74,2.66,NA,1,NA,NA
5/26/18,2,full removal,left,HEAR,c,2.01,5.89,5.38,NA,1,NA,crisp
5/26/18,2,full removal,left,HEAR,r,4.47,2.48,1.17,NA,1,NA,NA
5/26/18,2,full removal,right,SAAP,green,NA,NA,NA,NA,NA,1,NA
5/26/18,2,full removal,right,SAAP,blue,NA,NA,NA,NA,NA,1,NA
5/26/18,2,full removal,right,RHOV,green,NA,NA,NA,NA,NA,1,NA
5/26/18,2,full removal,right,RHOV,blue,NA,NA,NA,NA,NA,1,NA
5/26/18,2,full removal,right,CEOL,green,1.01,2.04,1.18,NA,1,NA,NA
5/26/18,2,full removal,right,CEOL,blue,NA,NA,NA,NA,NA,1,NA
5/26/18,2,full removal,right,HEAR,s,2.97,4.97,1.18,NA,1,NA,"crispy, only partially green"
5/26/18,2,full removal,right,HEAR,c,3.44,4.98,3.25,NA,1,NA,extra crispy
5/26/18,2,full removal,right,HEAR,r,1.77,8.16,1.41,NA,1,NA,possible herbivory
12/12/18,2,full removal,right,CEOL,green,NA,NA,NA,NA,NA,1,"dead, no seedlings present"
12/12/18,2,full removal,right,CEOL,blue,NA,NA,NA,NA,NA,1,"dead, no seedlings present"
12/12/18,2,full removal,right,HEAR,S,NA,NA,NA,NA,NA,1,"dead, no seedlings present"
12/12/18,2,full removal,right,HEAR,C,NA,NA,NA,NA,NA,1,"dead, no seedlings present"
12/12/18,2,full removal,right,HEAR,R,NA,NA,NA,NA,NA,1,"dead, no seedlings present"
12/12/18,2,full removal,right,RHOV,green,NA,NA,NA,NA,NA,1,"dead, no seedlings present"
12/12/18,2,full removal,right,RHOV,blue,NA,NA,NA,NA,NA,1,"dead, no seedlings present"
12/12/18,2,full removal,right,SAAP,green,NA,NA,NA,NA,NA,1,"dead, no seedlings present"
12/12/18,2,full removal,right,SAAP,blue,NA,NA,NA,NA,NA,1,"dead, no seedlings present"
12/12/18,2,full removal,left,CEOL,green,NA,NA,NA,NA,NA,1,"dead, no seedlings alive on left side, decomposing MAFA leaves in seed holes"
12/12/18,2,full removal,left,CEOL,blue,NA,NA,NA,NA,NA,1,"dead, no seedlings alive on left side, decomposing MAFA leaves in seed holes"
12/12/18,2,full removal,left,HEAR,S,NA,NA,NA,NA,NA,1,"dead, no seedlings alive on left side, decomposing MAFA leaves in seed holes"
12/12/18,2,full removal,left,HEAR,C,NA,NA,NA,NA,NA,1,"dead, no seedlings alive on left side, decomposing MAFA leaves in seed holes"
12/12/18,2,full removal,left,HEAR,R,NA,NA,NA,NA,NA,1,"dead, no seedlings alive on left side, decomposing MAFA leaves in seed holes"
12/12/18,2,full removal,left,RHOV,green,NA,NA,NA,NA,NA,1,"dead, no seedlings alive on left side, decomposing MAFA leaves in seed holes"
12/12/18,2,full removal,left,RHOV,blue,NA,NA,NA,NA,NA,1,"dead, no seedlings alive on left side, decomposing MAFA leaves in seed holes"
12/12/18,2,full removal,left,SAAP,green,NA,NA,NA,NA,NA,1,"dead, no seedlings alive on left side, decomposing MAFA leaves in seed holes"
12/12/18,2,full removal,left,SAAP,blue,NA,NA,NA,NA,NA,1,"dead, no seedlings alive on left side, decomposing MAFA leaves in seed holes"
1/26/19,2,full removal,top,CEOL,NA,3.69,4.21,2.75,NA,1,NA,"planted Jan 18-25, 2019"
1/26/19,2,full removal,top,HEAR,NA,9.81,8.07,9.46,NA,1,NA,"planted Jan 18-25, 2019"
1/26/19,2,full removal,top,RHOV,NA,2.47,3.12,1.8,NA,1,NA,"planted Jan 18-25, 2019"
1/26/19,2,full removal,top,SAAP,NA,6.04,10.47,8.63,NA,1,NA,"planted Jan 18-25, 2019"
1/26/19,2,full removal,middle,HEAR,NA,6.25,7.06,6.87,NA,1,NA,"planted Jan 18-25, 2019"
1/26/19,2,full removal,middle,RHOV,NA,3.11,2.73,3.78,NA,1,NA,"planted Jan 18-25, 2019"
1/26/19,2,full removal,middle,SAAP,NA,3.39,5.77,4.68,NA,1,NA,"planted Jan 18-25, 2019"
1/26/19,2,full removal,bottom,CEOL,NA,2.91,2.47,1.58,NA,1,NA,"planted Jan 18-25, 2019"
1/26/19,2,full removal,bottom,HEAR,NA,5.35,7.11,6.33,NA,1,NA,"planted Jan 18-25, 2019"
1/26/19,2,full removal,bottom,RHOV,NA,3.36,4.03,3.54,NA,1,NA,"planted Jan 18-25, 2019"
1/26/19,2,full removal,bottom,SAAP,NA,4.52,6.44,8.36,NA,1,NA,"planted Jan 18-25, 2019"
3/11/19,2,full removal,top,CEOL,NA,4.01,5.37,5.36,NA,1,NA,NA
3/11/19,2,full removal,top,HEAR,NA,7.78,9.17,6.87,NA,1,NA,NA
3/11/19,2,full removal,top,RHOV,NA,2.9,2.96,1.19,NA,1,NA,NA
3/11/19,2,full removal,top,SAAP,NA,5.66,10.35,10.58,NA,1,NA,NA
3/11/19,2,full removal,middle,HEAR,NA,5.99,5.95,4.09,NA,1,NA,NA
3/11/19,2,full removal,middle,RHOV,NA,2.46,0.05,0.05,NA,NA,1,dead
3/11/19,2,full removal,middle,SAAP,NA,2.78,5.58,4.91,NA,1,NA,NA
3/11/19,2,full removal,bottom,CEOL,NA,2.15,2.49,0.14,NA,1,NA,NA
3/11/19,2,full removal,bottom,HEAR,NA,4.26,6.01,4.26,NA,1,NA,NA
3/11/19,2,full removal,bottom,RHOV,NA,2.27,4.49,1.6,NA,1,NA,NA
3/11/19,2,full removal,bottom,SAAP,NA,4.07,5.22,5.82,NA,1,NA,NA
4/30/19,2,full removal,top,CEOL,NA,5.88,5.07,4.12,NA,1,NA,NA
4/30/19,2,full removal,top,HEAR,NA,10.15,8.73,7.51,NA,1,NA,NA
4/30/19,2,full removal,top,RHOV,NA,2.4,1.9,0.04,NA,1,NA,NA
4/30/19,2,full removal,top,SAAP,NA,12.92,10.81,10.61,NA,1,NA,NA
4/30/19,2,full removal,middle,HEAR,NA,6.9,6.1,5.3,NA,1,NA,NA
4/30/19,2,full removal,middle,RHOV,NA,NA,NA,NA,NA,NA,1,dead
4/30/19,2,full removal,middle,SAAP,NA,10.07,5.61,5.5,NA,1,NA,NA
4/30/19,2,full removal,bottom,CEOL,NA,3.49,2.31,1.08,NA,1,NA,NA
4/30/19,2,full removal,bottom,HEAR,NA,5.64,5.38,4.22,NA,1,NA,little herbivory
4/30/19,2,full removal,bottom,RHOV,NA,3.75,4.59,2.25,NA,1,NA,NA
4/30/19,2,full removal,bottom,SAAP,NA,7.37,5.55,5.81,NA,1,NA,NA
6/17/19,2,full removal,top,CEOL,NA,7.73,4.07,2.95,NA,1,NA,NA
6/17/19,2,full removal,top,HEAR,NA,14.13,8.28,5.2,NA,1,NA,NA
6/17/19,2,full removal,top,RHOV,NA,2.33,2.63,0.98,NA,1,NA,NA
6/17/19,2,full removal,top,SAAP,NA,15.45,12.23,10.98,NA,1,NA,NA
6/17/19,2,full removal,middle,HEAR,NA,9.6,6.01,6.61,NA,1,NA,NA
6/17/19,2,full removal,middle,RHOV,NA,NA,NA,NA,NA,NA,1,dd
6/17/19,2,full removal,middle,SAAP,NA,11.54,6.16,5.14,NA,1,NA,NA
6/17/19,2,full removal,bottom,CEOL,NA,3.27,0.72,0.21,NA,1,NA,green leaf
6/17/19,2,full removal,bottom,HEAR,NA,5.56,4.98,4.13,NA,1,NA,NA
6/17/19,2,full removal,bottom,RHOV,NA,4.75,2.8,1.62,NA,1,NA,NA
6/17/19,2,full removal,bottom,SAAP,NA,8.05,2.94,3.48,NA,1,NA,"herbivorized, but resprouting"
