species,seedlingID,march_deadH,march_aliveH,ID,may_deadH,may_aliveH,aliveinmarch,aliveinmay,
RHOV,4_left_RHOV_green,,2.91,1778,,2.2,Y,Y,
SAAP,26_right_SAAP_green,,2.94,1876,2.4,,Y,N,
CEOL,10_left_CEOL_blue,,2.95,1301,,2.73,Y,Y,
HEAR,6_right_HEAR_R,,2.96,1637,,,Y,N,
CEOL,1_left_CEOL_green,,2.97,1298,,,Y,N,
CEOL,33_left_CEOL_green,,2.98,1402,,,Y,N,
SAAP,33_left_SAAP_green,,2.99,1906,,,Y,N,
CEOL,19_right_CEOL_blue,,3,1339,,,Y,N,
HEAR,2_right_HEAR_R,,3,1511,,1.77,Y,Y,
RHOV,19_right_RHOV_blue,,3,1699,2.04,,Y,N,
SAAP,23_left_SAAP_blue,,3.03,1861,,,Y,N,
RHOV,33_left_RHOV_green,,3.05,1762,,2.84,Y,Y,
SAAP,11_left_SAAP_blue,,3.09,1809,,,Y,N,
HEAR,32_left_HEAR_C,,3.11,1591,,,Y,N,
CEOL,19_right_CEOL_green,,3.12,1340,,,Y,N,
SAAP,3_left_SAAP_green,,3.12,1890,,,Y,N,
SAAP,33_left_SAAP_blue,,3.13,1905,,2.98,Y,Y,
CEOL,9_left_CEOL_blue,,3.14,1437,,,Y,N,
RHOV,34_right_RHOV_blue,,3.15,1767,,,Y,N,
RHOV,22_right_RHOV_blue,,3.2,1715,,2.5,Y,Y,
SAAP,16_left_SAAP_green (old),,3.31,1830,,5.51,Y,Y,
CEOL,7_left_CEOL_blue,,3.32,1429,,,Y,N,
RHOV,11_right_RHOV_green,,3.34,1668,,1.804,Y,Y,
CEOL,23_right_CEOL_green,,3.37,1360,,,Y,N,
HEAR,17_right_HEAR_R,,3.5,1493,,,Y,N,
CEOL,10_left_CEOL_green,,3.53,1302,,3.83,Y,Y,
CEOL,6_right_CEOL_green,,3.56,1428,,,Y,N,
HEAR,15_right_HEAR_C2,,3.6,1481,,,Y,N,
HEAR,7_right_HEAR_R,,3.62,1643,,,Y,N,
SAAP,3_left_SAAP_blue,,3.62,1889,,2.98,Y,Y,
CEOL,3_left_CEOL_green,,3.66,1386,,,Y,N,
CEOL,4_right_CEOL_blue,,3.66,1419,,,Y,N,
HEAR,33_left_HEAR_R,,3.66,1598,,1.91,Y,Y,
HEAR,24_left_HEAR_S2,,3.77,1539,,,Y,N,
RHOV,18_right_RHOV_green,,3.824,1696,,,Y,N,
SAAP,14_right_SAAP_blue (old),,3.825,1823,,,Y,N,
SAAP,16_right_SAAP_green (old),,3.85,1832,,,Y,N,
CEOL,19_left_CEOL_blue,,3.86,1337,,,Y,N,
HEAR,27_left_HEAR_C,,3.86,1555,4.78,,Y,N,
CEOL,10_right_CEOL_green,,3.89,1304,,3.07,Y,Y,
HEAR,9_right_HEAR_C2,,3.9,1655,,1.84,Y,Y,
HEAR,1_right_HEAR_R,,3.96,1445,,,Y,N,
CEOL,17_right_CEOL_blue,,4,1331,,,Y,N,
RHOV,1_left_RHOV_green,,4.02,1658,,,Y,N,
HEAR,27_left_HEAR_R,,4.04,1556,,3.4,Y,Y,
HEAR,10_left_HEAR_C1,,4.05,1447,,3.31,Y,Y,
HEAR,11_left_HEAR_S,,4.05,1455,,,Y,N,
CEOL,21_right_CEOL_green,,4.11,1352,,,Y,N,
SAAP,22_left_SAAP_green,,4.11,1858,3.5,,Y,N,
CEOL,26_right_CEOL_green,,4.19,1372,,4.3,Y,Y,
HEAR,32_right_HEAR_R,,4.25,1595,3.78,,Y,N,
HEAR,31_left_HEAR_R,,4.26,1586,5.8,,Y,N,
HEAR,31_left_HEAR_C,,4.27,1585,4.3,,Y,N,
HEAR,16_right_HEAR_C1,,4.3,1486,,,Y,N,
HEAR,36_right_HEAR_R,,4.4,1619,,4.415,Y,Y,
HEAR,35_right_HEAR_R,,4.43,1613,,4.978,Y,Y,
HEAR,3_right_HEAR_R,,4.45,1577,,3.93,Y,Y,
HEAR,6_left_HEAR_R,,4.45,1634,,3.52,Y,Y,
HEAR,12_left_HEAR_R,,4.47,1460,,2.69,Y,Y,
RHOV,31_right_RHOV_green,,4.48,1756,,1.24,Y,Y,
HEAR,12_right_HEAR_C1,,4.5,1462,,3.45,Y,Y,
HEAR,3_right_HEAR_S,,4.59,1578,5.37,,Y,N,
HEAR,2_right_HEAR_C,,4.6,1510,,3.44,Y,Y,
HEAR,1_right_HEAR_S,,4.61,1446,,,Y,N,
HEAR,29_right_HEAR_C,,4.61,1570,4.88,,Y,N,
HEAR,23_right_HEAR_R,,4.63,1535,,3.915,Y,Y,
HEAR,31_right_HEAR_C,,4.64,1588,,3.96,Y,Y,
HEAR,26_right_HEAR_S,,4.68,1554,5.6,,Y,N,
HEAR,34_right_HEAR_C,,4.68,1606,,,Y,N,
HEAR,36_left_HEAR_C,,4.83,1615,,,Y,N,
HEAR,26_right_HEAR_C1,,4.87,1552,5.2,,Y,N,
HEAR,22_left_HEAR_S,,4.99,1527,,3.5,Y,Y,
HEAR,27_right_HEAR_C,,5.05,1558,3.82,,Y,N,
HEAR,21_left_HEAR_C,,5.07,1519,4.89,,Y,N,
HEAR,21_right_HEAR_S1,,5.1,1523,1.574,,Y,N,
CEOL,25_right_CEOL_blue,,5.11,1367,,,Y,N,
HEAR,19_left_HEAR_S2,,5.12,1503,3.62,,Y,N,
HEAR,2_left_HEAR_R,,5.16,1508,,4.47,Y,Y,
HEAR,14_left_HEAR_C2,,5.2,1472,,,Y,N,
HEAR,18_left_HEAR_C1,,5.2,1495,,,Y,N,
SAAP,16_right_SAAP_blue (old),,5.2,1831,,,Y,N,
HEAR,3_left_HEAR_C,,5.21,1573,,2.57,Y,Y,
HEAR,8_right_HEAR_C1,,5.22,1648,,5.1,Y,Y,
HEAR,11_left_HEAR_C1,,5.26,1453,,0.31,Y,Y,
HEAR,22_left_HEAR_R,,5.42,1526,,10,Y,Y,
HEAR,35_right_HEAR_S,,5.49,1614,,6.098,Y,Y,
HEAR,11_right_HEAR_C,,5.54,1456,,,Y,N,
HEAR,13_left_HEAR_C2,,5.54,1466,,,Y,N,
HEAR,8_left_HEAR_C1,,5.55,1645,,5.81,Y,Y,
HEAR,9_right_HEAR_C1,,5.56,1654,,3.42,Y,Y,
HEAR,20_right_HEAR_S1,,5.57,1517,10.92,,Y,N,
HEAR,12_right_HEAR_C2,,5.6,1463,,4.23,Y,Y,
HEAR,3_left_HEAR_R,,5.62,1574,,,Y,N,
SAAP,16_left_SAAP_blue (old),,5.62,1829,,,Y,N,
HEAR,29_left_HEAR_S2,,5.69,1569,8.58,,Y,N,
HEAR,25_right_HEAR_C2,,5.71,1547,,5.487,Y,Y,
HEAR,10_left_HEAR_S,,5.72,1449,,1.4,Y,Y,
HEAR,29_left_HEAR_C,,5.75,1567,5.67,,Y,N,
HEAR,16_left_HEAR_C1,,5.8,1483,,4.44,Y,Y,
HEAR,25_left_HEAR_C,,5.81,1543,4.742,,Y,N,
SAAP,21_right_SAAP_blue,,5.82,1855,,,Y,N,
HEAR,7_right_HEAR_S,,5.88,1644,,2.28,Y,Y,
HEAR,9_left_HEAR_C1,,5.89,1651,,5.91,Y,Y,
HEAR,28_right_HEAR_R,,5.92,1565,5.92,,Y,N,
HEAR,22_left_HEAR_C,,5.95,1525,,10.7,Y,Y,
SAAP,17_right_SAAP_green (old 2016),,6,1836,,,Y,N,
HEAR,34_right_HEAR_R,,6.04,1607,,,Y,N,
HEAR,32_left_HEAR_R,,6.08,1592,,6.336,Y,Y,
HEAR,15_right_HEAR_S,,6.1,1482,,,Y,N,
HEAR,31_right_HEAR_S,,6.16,1590,,,Y,N,
HEAR,24_right_HEAR_S,,6.23,1542,,7.7,Y,Y,
HEAR,21_left_HEAR_R,,6.24,1520,,5.83,Y,Y,
SAAP,11_right_SAAP_blue,,6.25,1811,,,Y,N,
HEAR,26_left_HEAR_S,,6.26,1551,,6.87,Y,Y,
HEAR,26_right_HEAR_C2,,6.26,1553,5.15,,Y,N,
HEAR,8_right_HEAR_S,,6.28,1650,,6.46,Y,Y,
HEAR,18_right_HEAR_R,,6.361,1499,,,Y,N,
HEAR,24_left_HEAR_C,,6.38,1537,,6.4,Y,Y,
HEAR,8_right_HEAR_C2,,6.39,1649,,6.01,Y,Y,
HEAR,16_left_HEAR_S,,6.42,1485,,,Y,N,
HEAR,5_left_HEAR_R,,6.47,1628,,5.28,Y,Y,
SAAP,14_left_SAAP_green (old),,6.5,1822,,1.905,Y,Y,
HEAR,19_right_HEAR_S2,,6.52,1506,,9.12,Y,Y,
HEAR,21_right_HEAR_C,,6.52,1522,,7.88,Y,Y,
HEAR,6_right_HEAR_C,,6.52,1636,,2.13,Y,Y,
HEAR,3_left_HEAR_S,,6.57,1575,,5.22,Y,Y,
HEAR,28_right_HEAR_C,,6.62,1564,,6.6,Y,Y,
HEAR,4_left_HEAR_R,,6.7,1622,,5.38,Y,Y,
HEAR,1_left_HEAR_S,,6.73,1443,,,Y,N,
HEAR,8_left_HEAR_S,,6.82,1647,,2.31,Y,Y,
HEAR,21_left_HEAR_S,,6.84,1521,,8.164,Y,Y,
HEAR,17_left_HEAR_S,,6.88,1491,,5.1,Y,Y,
HEAR,12_right_HEAR_S,,6.9,1464,,5.56,Y,Y,
HEAR,16_right_HEAR_S,,6.9,1488,,,Y,N,
HEAR,34_left_HEAR_S2,,6.92,1605,,6.85,Y,Y,
HEAR,12_left_HEAR_C,,6.95,1459,,6.02,Y,Y,
HEAR,24_right_HEAR_C,,6.97,1540,6.7,,Y,N,
HEAR,29_left_HEAR_S1,,6.99,1568,5.91,,Y,N,
HEAR,3_right_HEAR_C,,6.99,1576,6.28,,Y,N,
HEAR,14_left_HEAR_C1,,7,1471,,,Y,N,
HEAR,10_right_HEAR_S,,7.01,1452,,,Y,N,
HEAR,12_left_HEAR_S,,7.01,1461,,7.15,Y,Y,
HEAR,28_left_HEAR_C1,,7.05,1561,7.6,,Y,N,
