year,month,site,plot_number,treatment,normalized_par,cover_type,percent_cover
2019,1,1,18,none,0.137371552,shrubcanopy,45
2019,1,2,19,full,0.024539877,shrubcanopy,0
2019,1,2,20,none,0.497454882,shrubcanopy,42
2019,1,2,21,half,0.577655311,shrubcanopy,65
2019,1,2,22,full,0.08716707,shrubcanopy,5
2019,1,2,23,half,0.151883354,shrubcanopy,35
2019,1,2,24,none,0.108662994,shrubcanopy,55
2019,1,2,25,none,0.356914651,shrubcanopy,10
2019,1,2,26,half,0.160047421,shrubcanopy,16
2019,1,2,27,full,0.099178774,shrubcanopy,3
2019,1,2,28,half,0.559677419,shrubcanopy,0
2019,1,2,29,none,0.346363187,shrubcanopy,15
2019,1,2,30,full,0.458755427,shrubcanopy,3
2019,1,2,31,none,0.176322418,shrubcanopy,30
2019,1,2,32,half,0.270381837,shrubcanopy,20
2019,1,2,33,full,0.093346574,shrubcanopy,0
2019,1,2,34,half,0.397371082,shrubcanopy,15
2019,1,2,35,full,0.317713697,shrubcanopy,15
2019,1,2,36,none,0.065227593,shrubcanopy,0
2019,3,1,1,none,0.091318591,shrubcanopy,70
2019,3,1,2,full,0.589930822,shrubcanopy,25
2019,3,1,3,full,0.594787576,shrubcanopy,23
2019,3,1,4,half,0.440108192,shrubcanopy,43
2019,3,1,5,half,0.362896979,shrubcanopy,35
2019,3,1,6,none,0.36935341,shrubcanopy,73
2019,3,1,7,none,0.351351351,shrubcanopy,60
2019,3,1,8,half,0.398148148,shrubcanopy,25
2019,3,1,9,full,0.651113913,shrubcanopy,38
2019,3,1,10,half,0.297479748,shrubcanopy,40
2019,3,1,11,none,0.671319797,shrubcanopy,40
2019,3,1,12,full,0.381053526,shrubcanopy,40
2019,3,1,13,full,0.292694276,shrubcanopy,1
2019,3,1,14,none,0.34237151,shrubcanopy,40
2019,3,1,15,half,0.232807215,shrubcanopy,45
2019,3,1,16,full,0.612024666,shrubcanopy,35
2019,3,1,17,half,0.164155844,shrubcanopy,60
2019,3,1,18,none,0.368090452,shrubcanopy,45
2019,3,2,19,full,0.284409875,shrubcanopy,0
2019,3,2,20,none,0.288948069,shrubcanopy,42
2019,3,2,21,half,0.412001341,shrubcanopy,65
2019,3,2,22,full,0.267565649,shrubcanopy,5
2019,3,2,23,half,0.606875934,shrubcanopy,35
2019,3,2,24,none,0.304301075,shrubcanopy,55
2019,3,2,25,none,0.559000316,shrubcanopy,10
2019,3,2,26,half,0.507714388,shrubcanopy,16
2019,3,2,27,full,0.545810493,shrubcanopy,3
2019,3,2,28,half,0.515394913,shrubcanopy,0
2019,3,2,29,none,0.562682216,shrubcanopy,15
2019,3,2,30,full,0.815390046,shrubcanopy,3
2019,3,2,31,none,0.499094531,shrubcanopy,30
2019,3,2,32,half,0.783113245,shrubcanopy,20
2019,3,2,33,full,0.58621988,shrubcanopy,0
2019,3,2,34,half,0.493501805,shrubcanopy,15
2019,3,2,35,full,0.531028738,shrubcanopy,15
2019,3,2,36,none,0.302999318,shrubcanopy,0
2019,5,1,1,none,0.04353562,shrubcanopy,70
2019,5,1,2,full,0.402466732,shrubcanopy,25
2019,5,1,3,full,0.858486868,shrubcanopy,23
2019,5,1,4,half,0.308650519,shrubcanopy,43
2019,5,1,5,half,0.266559486,shrubcanopy,35
2019,5,1,6,none,0.149702823,shrubcanopy,73
2019,5,1,7,none,0.279425837,shrubcanopy,60
2019,5,1,8,half,0.164304864,shrubcanopy,25
2019,5,1,9,full,0.458100559,shrubcanopy,38
2019,5,1,10,half,0.33741889,shrubcanopy,40
2019,5,1,11,none,0.588360539,shrubcanopy,40
2019,5,1,12,full,0.568015926,shrubcanopy,40
2019,5,1,13,full,0.428717251,shrubcanopy,1
2019,5,1,14,none,0.254975978,shrubcanopy,40
2019,5,1,15,half,0.269605931,shrubcanopy,45
2019,5,1,16,full,0.666906994,shrubcanopy,35
2019,5,1,17,half,0.030677291,shrubcanopy,60
2019,5,1,18,none,0.442329227,shrubcanopy,45
2019,5,2,19,full,0.236346215,shrubcanopy,0
2019,5,2,20,none,0.429455849,shrubcanopy,42
2019,5,2,21,half,0.152547671,shrubcanopy,65
2019,5,2,22,full,0.319689922,shrubcanopy,5
2019,5,2,23,half,0.230769231,shrubcanopy,35
2019,5,2,24,none,0.097878675,shrubcanopy,55
2019,5,2,25,none,0.535417996,shrubcanopy,10
2019,5,2,26,half,0.615457413,shrubcanopy,16
2019,5,2,27,full,0.626717033,shrubcanopy,3
2019,5,2,28,half,0.64556962,shrubcanopy,0
2019,5,2,29,none,0.419876983,shrubcanopy,15
2019,5,2,30,full,0.813765182,shrubcanopy,3
2019,5,2,31,none,0.43539147,shrubcanopy,30
2019,5,2,32,half,0.731213873,shrubcanopy,20
2019,5,2,33,full,0.808377309,shrubcanopy,0
2019,5,2,34,half,0.676636756,shrubcanopy,15
2019,5,2,35,full,0.444919434,shrubcanopy,15
2019,5,2,36,none,0.283966516,shrubcanopy,0
2019,7,1,1,none,0.136147039,shrubcanopy,70
2019,7,1,2,full,0.478860006,shrubcanopy,25
2019,7,1,3,full,0.583358732,shrubcanopy,23
2019,7,1,4,half,0.372923848,shrubcanopy,43
2019,7,1,5,half,0.150527325,shrubcanopy,35
2019,7,1,6,none,0.122988157,shrubcanopy,73
2019,7,1,7,none,0.197232947,shrubcanopy,60
2019,7,1,8,half,0.364087302,shrubcanopy,25
2019,7,1,9,full,0.49261745,shrubcanopy,38
2019,7,1,10,half,0.386312034,shrubcanopy,40
2019,7,1,11,none,0.563780093,shrubcanopy,40
2019,7,1,12,full,0.2512364,shrubcanopy,40
2019,7,1,13,full,0.468674282,shrubcanopy,1
2019,7,1,14,none,0.197891874,shrubcanopy,40
2019,7,1,15,half,0.407162726,shrubcanopy,45
2019,7,1,16,full,0.379780512,shrubcanopy,35
2019,7,1,17,half,0.030098072,shrubcanopy,60
2019,7,1,18,none,0.336779449,shrubcanopy,45
2019,7,2,19,full,0.197674419,shrubcanopy,0
2019,7,2,20,none,0.204784131,shrubcanopy,42
2019,7,2,21,half,0.209162146,shrubcanopy,65
2019,7,2,22,full,0.803889255,shrubcanopy,5
2019,7,2,23,half,0.483891753,shrubcanopy,35
2019,7,2,24,none,0.186774194,shrubcanopy,55
2019,7,2,25,none,0.214782609,shrubcanopy,10
2019,7,2,26,half,0.617618896,shrubcanopy,16
2019,7,2,27,full,0.567450495,shrubcanopy,3
2019,7,2,28,half,0.388007055,shrubcanopy,0
2019,7,2,29,none,0.36273905,shrubcanopy,15
2019,7,2,30,full,0.818484288,shrubcanopy,3
2019,7,2,31,none,0.511002445,shrubcanopy,30
2019,7,2,32,half,0.426325524,shrubcanopy,20
2019,7,2,33,full,0.388385888,shrubcanopy,0
2019,7,2,34,half,0.76218965,shrubcanopy,15
2019,7,2,35,full,0.429115128,shrubcanopy,15
2019,7,2,36,none,0.382752902,shrubcanopy,0
2019,9,1,1,none,0.240343348,shrubcanopy,70
2019,9,1,2,full,0.338813152,shrubcanopy,25
2019,9,1,3,full,0.571784824,shrubcanopy,23
2019,9,1,4,half,0.368928141,shrubcanopy,43
2019,9,1,5,half,0.378799392,shrubcanopy,35
2019,9,1,6,none,0.259735202,shrubcanopy,73
2019,9,1,7,none,0.310166799,shrubcanopy,60
2019,9,1,8,half,0.286301933,shrubcanopy,25
2019,9,1,9,full,0.853405503,shrubcanopy,38
2019,9,1,10,half,0.228571429,shrubcanopy,40
2019,9,1,11,none,0.752182952,shrubcanopy,40
2019,9,1,12,full,0.339118825,shrubcanopy,40
2019,9,1,13,full,0.381132075,shrubcanopy,1
2019,9,1,14,none,0.424738518,shrubcanopy,40
2019,9,1,15,half,0.316234498,shrubcanopy,45
2019,9,1,16,full,0.50410509,shrubcanopy,35
2019,9,1,17,half,0.120941558,shrubcanopy,60
2019,9,1,18,none,0.193663366,shrubcanopy,45
2019,9,2,19,full,0.247872734,shrubcanopy,0
2019,9,2,20,none,0.310319767,shrubcanopy,42
2019,9,2,21,half,0.174763613,shrubcanopy,65
2019,9,2,22,full,0.617938931,shrubcanopy,5
2019,9,2,23,half,0.440847784,shrubcanopy,35
2019,9,2,24,none,0.356292517,shrubcanopy,55
2019,9,2,25,none,0.595914127,shrubcanopy,10
2019,9,2,26,half,0.659354305,shrubcanopy,16
2019,9,2,27,full,0.483474251,shrubcanopy,3
2019,9,2,28,half,0.50018622,shrubcanopy,0
2019,9,2,29,none,0.464799115,shrubcanopy,15
2019,9,2,30,full,0.842882883,shrubcanopy,3
2019,9,2,31,none,0.513545347,shrubcanopy,30
2019,9,2,32,half,0.567408652,shrubcanopy,20
2019,9,2,33,full,0.42208051,shrubcanopy,0
2019,9,2,34,half,0.471167883,shrubcanopy,15
2019,9,2,35,full,0.389925373,shrubcanopy,15
2019,9,2,36,none,0.578908003,shrubcanopy,0
2019,11,1,1,none,0.148347425,shrubcanopy,70
2019,11,1,2,full,0.230496454,shrubcanopy,25
2019,11,1,3,full,0.149560117,shrubcanopy,23
2019,11,1,4,half,0.143119266,shrubcanopy,43
2019,11,1,5,half,0.123429416,shrubcanopy,35
2019,11,1,6,none,0.39184268,shrubcanopy,73
2019,11,1,7,none,0.223162348,shrubcanopy,60
2019,11,1,8,half,0.224788299,shrubcanopy,25
2019,11,1,9,full,0.25847846,shrubcanopy,38
2019,11,1,10,half,0.140438871,shrubcanopy,40
2019,11,1,11,none,0.269461078,shrubcanopy,40
2019,11,1,12,full,0.226640159,shrubcanopy,40
2019,11,1,13,full,0.093006993,shrubcanopy,1
2019,11,1,14,none,0.24404416,shrubcanopy,40
2019,11,1,15,half,0.11245283,shrubcanopy,45
2019,11,1,16,full,0.091549296,shrubcanopy,35
2019,11,1,17,half,0.084745763,shrubcanopy,60
2019,11,1,18,none,0.093622001,shrubcanopy,45
2019,11,2,19,full,0.513483146,shrubcanopy,0
2019,11,2,20,none,0.474566128,shrubcanopy,42
2019,11,2,21,half,0.40383498,shrubcanopy,65
2019,11,2,22,full,0.509528586,shrubcanopy,5
2019,11,2,23,half,0.233076923,shrubcanopy,35
2019,11,2,24,none,0.120363361,shrubcanopy,55
2019,11,2,25,none,0.490948985,shrubcanopy,10
2019,11,2,26,half,0.296125461,shrubcanopy,16
2019,11,2,27,full,0.164483261,shrubcanopy,3
2019,11,2,28,half,0.258333333,shrubcanopy,0
2019,11,2,29,none,0.325959662,shrubcanopy,15
2019,11,2,30,full,0.692676249,shrubcanopy,3
2019,11,2,31,none,0.419852941,shrubcanopy,30
2019,11,2,32,half,0.685505319,shrubcanopy,20
2019,11,2,33,full,0.342817488,shrubcanopy,0
2019,11,2,34,half,0.54727133,shrubcanopy,15
2019,11,2,35,full,0.284513806,shrubcanopy,15
2019,11,2,36,none,0.536464771,shrubcanopy,0
2018,12,1,1,none,NA,shrubcanopy,42
2018,12,1,2,full,NA,shrubcanopy,10
2018,12,1,3,full,NA,shrubcanopy,9
2018,12,1,4,half,NA,shrubcanopy,23
2018,12,1,5,half,NA,shrubcanopy,12
2018,12,1,6,none,NA,shrubcanopy,35
2018,12,1,7,none,NA,shrubcanopy,28
2018,12,1,8,half,NA,shrubcanopy,17
2018,12,1,9,full,NA,shrubcanopy,15
2018,12,1,10,half,NA,shrubcanopy,27
2018,12,1,11,none,NA,shrubcanopy,23
2018,12,1,12,full,NA,shrubcanopy,28
2018,12,1,13,full,NA,shrubcanopy,3.5
2018,12,1,14,none,NA,shrubcanopy,35
2018,12,1,15,half,NA,shrubcanopy,23
2018,12,1,16,full,NA,shrubcanopy,6
2018,12,1,17,half,NA,shrubcanopy,32
2018,12,1,18,none,NA,shrubcanopy,41
2018,12,2,19,full,NA,shrubcanopy,0
2018,12,2,20,none,NA,shrubcanopy,27
2018,12,2,21,half,NA,shrubcanopy,23
2018,12,2,22,full,NA,shrubcanopy,2
2018,12,2,23,half,NA,shrubcanopy,20
2018,12,2,24,none,NA,shrubcanopy,28
2018,12,2,25,none,NA,shrubcanopy,10
2018,12,2,26,half,NA,shrubcanopy,11
2018,12,2,27,full,NA,shrubcanopy,2.25
2018,12,2,28,half,NA,shrubcanopy,0
2018,12,2,29,none,NA,shrubcanopy,13.5
2018,12,2,30,full,NA,shrubcanopy,11
2018,12,2,31,none,NA,shrubcanopy,12
2018,12,2,32,half,NA,shrubcanopy,7
2018,12,2,33,full,NA,shrubcanopy,0
2018,12,2,34,half,NA,shrubcanopy,4.75
2018,12,2,35,full,NA,shrubcanopy,2.5
2018,12,2,36,none,NA,shrubcanopy,6
2018,4,1,1,none,0.224836601,nonnative,22
2018,4,1,2,full,0.338588885,nonnative,48
2018,4,1,3,full,0.166666667,nonnative,63
2018,4,1,4,half,0.310884354,nonnative,39.5
2018,4,1,5,half,0.482198142,nonnative,38
2018,4,1,6,none,0.217563552,nonnative,43
2018,4,1,7,none,0.244189853,nonnative,25
2018,4,1,8,half,0.232748538,nonnative,50
2018,4,1,9,full,0.450925603,nonnative,43
2018,4,1,10,half,0.422264875,nonnative,31.1
2018,4,1,11,none,0.449269792,nonnative,22.45
2018,4,1,12,full,0.471184632,nonnative,17
2018,4,1,13,full,0.233640553,nonnative,50.8
2018,4,1,14,none,0.274364896,nonnative,35
2018,4,1,15,half,0.316526611,nonnative,20
2018,4,1,16,full,0.228392081,nonnative,42.25
2018,4,1,17,half,0.23050703,nonnative,32.5
2018,4,1,18,none,0.489213894,nonnative,36
2018,4,2,19,full,0.258693046,nonnative,43.5
2018,4,2,20,none,0.165927802,nonnative,33
2018,4,2,21,half,0.26920713,nonnative,32
2018,4,2,22,full,0.256556826,nonnative,44.85
2018,4,2,23,half,0.36627351,nonnative,28.2
2018,4,2,24,none,0.477762803,nonnative,33.2
2018,4,2,25,none,0.228837209,nonnative,25.85
2018,4,2,26,half,0.510094637,nonnative,39.75
2018,4,2,27,full,0.467263743,nonnative,58.5
2018,4,2,28,half,0.295419613,nonnative,44.1
2018,4,2,29,none,0.533734558,nonnative,38.75
2018,4,2,30,full,0.623453153,nonnative,28.13
2018,4,2,31,none,0.320475731,nonnative,18.1
2018,4,2,32,half,0.596728307,nonnative,9.5
2018,4,2,33,full,0.206566347,nonnative,64.2
2018,4,2,34,half,0.592139175,nonnative,18.5
2018,4,2,35,full,0.497045534,nonnative,31.1
2018,4,2,36,none,0.11994989,nonnative,47.6
2018,9,1,1,none,0.244005185,nonnative,22
2018,9,1,2,full,0.609578544,nonnative,48
2018,9,1,3,full,0.516483516,nonnative,63
2018,9,1,4,half,0.622445321,nonnative,39.5
2018,9,1,5,half,0.456769437,nonnative,38
2018,9,1,6,none,0.329570398,nonnative,43
2018,9,1,7,none,0.548991354,nonnative,25
2018,9,1,8,half,0.239229765,nonnative,50
2018,9,1,9,full,0.711664936,nonnative,43
2018,9,1,10,half,0.563164109,nonnative,31.1
2018,9,1,11,none,0.655653451,nonnative,22.45
2018,9,1,12,full,0.565124555,nonnative,17
2018,9,1,13,full,0.29287902,nonnative,50.8
2018,9,1,14,none,0.297250859,nonnative,35
2018,9,1,15,half,0.479010495,nonnative,20
2018,9,1,16,full,0.60692951,nonnative,42.25
2018,9,1,17,half,0.413889863,nonnative,32.5
2018,9,1,18,none,0.401558794,nonnative,36
2018,9,2,19,full,0.413186158,nonnative,43.5
2018,9,2,20,none,0.433568678,nonnative,33
2018,9,2,21,half,0.513396982,nonnative,32
2018,9,2,22,full,0.333919775,nonnative,44.85
2018,9,2,23,half,0.561771562,nonnative,28.2
2018,9,2,24,none,0.575886525,nonnative,33.2
2018,9,2,25,none,0.468366383,nonnative,25.85
2018,9,2,26,half,0.483053749,nonnative,39.75
2018,9,2,27,full,0.449641516,nonnative,58.5
2018,9,2,28,half,0.392020266,nonnative,44.1
2018,9,2,29,none,0.551286335,nonnative,38.75
2018,9,2,30,full,0.806398955,nonnative,28.13
2018,9,2,31,none,0.427405644,nonnative,18.1
2018,9,2,32,half,0.667963225,nonnative,9.5
2018,9,2,33,full,0.289845758,nonnative,64.2
2018,9,2,34,half,0.536468984,nonnative,18.5
2018,9,2,35,full,0.508102955,nonnative,31.1
2018,9,2,36,none,0.347855228,nonnative,47.6
2019,1,1,1,none,0.060736196,nonnative,40
2019,1,1,2,full,0.243571082,nonnative,43
2019,1,1,3,full,0.200987654,nonnative,27
2019,1,1,4,half,0.320100503,nonnative,30
2019,1,1,5,half,0.090159961,nonnative,57
2019,1,1,6,none,0.479460094,nonnative,40
2019,1,1,7,none,0.123031496,nonnative,35
2019,1,1,8,half,0.135628953,nonnative,40
2019,1,1,9,full,0.345712357,nonnative,44
2019,1,1,10,half,0.089498807,nonnative,32
2019,1,1,11,none,0.248508946,nonnative,8
2019,1,1,12,full,0.123609394,nonnative,21
2019,1,1,13,full,0.069590086,nonnative,46
2019,1,1,14,none,0.220472441,nonnative,23
2019,1,1,15,half,0.085413929,nonnative,20
2019,1,1,16,full,0.080087767,nonnative,43
2019,1,1,17,half,0.089634146,nonnative,41
2019,1,1,18,none,0.137371552,nonnative,55
2019,1,2,19,full,0.024539877,nonnative,91
2019,1,2,20,none,0.497454882,nonnative,42
2019,1,2,21,half,0.577655311,nonnative,17
2019,1,2,22,full,0.08716707,nonnative,41
2019,1,2,23,half,0.151883354,nonnative,23
2019,1,2,24,none,0.108662994,nonnative,41
2019,1,2,25,none,0.356914651,nonnative,38
2019,1,2,26,half,0.160047421,nonnative,42
2019,1,2,27,full,0.099178774,nonnative,60
2019,1,2,28,half,0.559677419,nonnative,16
2019,1,2,29,none,0.346363187,nonnative,46
2019,1,2,30,full,0.458755427,nonnative,22
2019,1,2,31,none,0.176322418,nonnative,55
2019,1,2,32,half,0.270381837,nonnative,35
2019,1,2,33,full,0.093346574,nonnative,72
2019,1,2,34,half,0.397371082,nonnative,33
2019,1,2,35,full,0.317713697,nonnative,32
2019,1,2,36,none,0.065227593,nonnative,61
2019,3,1,1,none,0.091318591,nonnative,40
2019,3,1,2,full,0.589930822,nonnative,43
2019,3,1,3,full,0.594787576,nonnative,27
2019,3,1,4,half,0.440108192,nonnative,30
2019,3,1,5,half,0.362896979,nonnative,57
2019,3,1,6,none,0.36935341,nonnative,40
2019,3,1,7,none,0.351351351,nonnative,35
2019,3,1,8,half,0.398148148,nonnative,40
2019,3,1,9,full,0.651113913,nonnative,44
2019,3,1,10,half,0.297479748,nonnative,32
2019,3,1,11,none,0.671319797,nonnative,8
2019,3,1,12,full,0.381053526,nonnative,21
2019,3,1,13,full,0.292694276,nonnative,46
2019,3,1,14,none,0.34237151,nonnative,23
2019,3,1,15,half,0.232807215,nonnative,20
2019,3,1,16,full,0.612024666,nonnative,43
2019,3,1,17,half,0.164155844,nonnative,41
2019,3,1,18,none,0.368090452,nonnative,55
2019,3,2,19,full,0.284409875,nonnative,91
2019,3,2,20,none,0.288948069,nonnative,42
2019,3,2,21,half,0.412001341,nonnative,17
2019,3,2,22,full,0.267565649,nonnative,41
2019,3,2,23,half,0.606875934,nonnative,23
2019,3,2,24,none,0.304301075,nonnative,41
2019,3,2,25,none,0.559000316,nonnative,38
2019,3,2,26,half,0.507714388,nonnative,42
2019,3,2,27,full,0.545810493,nonnative,60
2019,3,2,28,half,0.515394913,nonnative,16
2019,3,2,29,none,0.562682216,nonnative,46
2019,3,2,30,full,0.815390046,nonnative,22
2019,3,2,31,none,0.499094531,nonnative,55
2019,3,2,32,half,0.783113245,nonnative,35
2019,3,2,33,full,0.58621988,nonnative,72
2019,3,2,34,half,0.493501805,nonnative,33
2019,3,2,35,full,0.531028738,nonnative,32
2019,3,2,36,none,0.302999318,nonnative,61
2019,5,1,1,none,0.04353562,nonnative,40
2019,5,1,2,full,0.402466732,nonnative,43
2019,5,1,3,full,0.858486868,nonnative,27
2019,5,1,4,half,0.308650519,nonnative,30
2019,5,1,5,half,0.266559486,nonnative,57
2019,5,1,6,none,0.149702823,nonnative,40
2019,5,1,7,none,0.279425837,nonnative,35
2019,5,1,8,half,0.164304864,nonnative,40
2019,5,1,9,full,0.458100559,nonnative,44
2019,5,1,10,half,0.33741889,nonnative,32
2019,5,1,11,none,0.588360539,nonnative,8
2019,5,1,12,full,0.568015926,nonnative,21
2019,5,1,13,full,0.428717251,nonnative,46
2019,5,1,14,none,0.254975978,nonnative,23
2019,5,1,15,half,0.269605931,nonnative,20
2019,5,1,16,full,0.666906994,nonnative,43
2019,5,1,17,half,0.030677291,nonnative,41
2019,5,1,18,none,0.442329227,nonnative,55
2019,5,2,19,full,0.236346215,nonnative,91
2019,5,2,20,none,0.429455849,nonnative,42
2019,5,2,21,half,0.152547671,nonnative,17
2019,5,2,22,full,0.319689922,nonnative,41
2019,5,2,23,half,0.230769231,nonnative,23
2019,5,2,24,none,0.097878675,nonnative,41
2019,5,2,25,none,0.535417996,nonnative,38
2019,5,2,26,half,0.615457413,nonnative,42
2019,5,2,27,full,0.626717033,nonnative,60
2019,5,2,28,half,0.64556962,nonnative,16
2019,5,2,29,none,0.419876983,nonnative,46
2019,5,2,30,full,0.813765182,nonnative,22
2019,5,2,31,none,0.43539147,nonnative,55
2019,5,2,32,half,0.731213873,nonnative,35
2019,5,2,33,full,0.808377309,nonnative,72
2019,5,2,34,half,0.676636756,nonnative,33
2019,5,2,35,full,0.444919434,nonnative,32
2019,5,2,36,none,0.283966516,nonnative,61
2019,7,1,1,none,0.136147039,nonnative,40
2019,7,1,2,full,0.478860006,nonnative,43
2019,7,1,3,full,0.583358732,nonnative,27
2019,7,1,4,half,0.372923848,nonnative,30
2019,7,1,5,half,0.150527325,nonnative,57
2019,7,1,6,none,0.122988157,nonnative,40
2019,7,1,7,none,0.197232947,nonnative,35
2019,7,1,8,half,0.364087302,nonnative,40
2019,7,1,9,full,0.49261745,nonnative,44
2019,7,1,10,half,0.386312034,nonnative,32
2019,7,1,11,none,0.563780093,nonnative,8
2019,7,1,12,full,0.2512364,nonnative,21
2019,7,1,13,full,0.468674282,nonnative,46
2019,7,1,14,none,0.197891874,nonnative,23
2019,7,1,15,half,0.407162726,nonnative,20
2019,7,1,16,full,0.379780512,nonnative,43
2019,7,1,17,half,0.030098072,nonnative,41
2019,7,1,18,none,0.336779449,nonnative,55
2019,7,2,19,full,0.197674419,nonnative,91
2019,7,2,20,none,0.204784131,nonnative,42
2019,7,2,21,half,0.209162146,nonnative,17
2019,7,2,22,full,0.803889255,nonnative,41
2019,7,2,23,half,0.483891753,nonnative,23
2019,7,2,24,none,0.186774194,nonnative,41
2019,7,2,25,none,0.214782609,nonnative,38
2019,7,2,26,half,0.617618896,nonnative,42
2019,7,2,27,full,0.567450495,nonnative,60
2019,7,2,28,half,0.388007055,nonnative,16
2019,7,2,29,none,0.36273905,nonnative,46
2019,7,2,30,full,0.818484288,nonnative,22
2019,7,2,31,none,0.511002445,nonnative,55
2019,7,2,32,half,0.426325524,nonnative,35
2019,7,2,33,full,0.388385888,nonnative,72
2019,7,2,34,half,0.76218965,nonnative,33
2019,7,2,35,full,0.429115128,nonnative,32
