species,ID,PAR,PAR_actual,Photo,CI_out
HEAR,HEAR0831_3,500,501.2253418,10.82957151,227.4874959
HEAR,HEAR0831_3,250,250.8356476,8.836631959,224.992515
HEAR,HEAR0831_3,100,100.7142639,6.922705807,209.1419054
HEAR,HEAR0831_3,50,51.00136948,5.175325173,218.693191
HEAR,HEAR0831_3,25,25.73160934,3.922958728,224.0321506
HEAR,HEAR0831_3,0,0.141286254,1.869834039,296.0476457
HEAR,HEAR0924_4,2000,1999.240112,4.360991442,331.873673
HEAR,HEAR0924_4,1000,999.8629761,3.542811747,333.1246289
HEAR,HEAR0924_4,500,500.5237427,3.458469455,320.5272971
HEAR,HEAR0924_4,250,249.4707642,3.07060569,309.8954925
HEAR,HEAR0924_4,100,100.0983047,1.748539992,339.502579
HEAR,HEAR0924_4,50,50.92737961,0.641752871,368.2961334
HEAR,HEAR0924_4,25,25.2917614,-0.444886938,403.0398284
HEAR,HEAR0924_4,0,-0.001479386,-1.833244353,458.9794098
HEAR,HEAR1104_5,2000,1999.245239,4.715047436,169.0959084
HEAR,HEAR1104_5,1000,1000.103088,3.272767168,238.8648589
HEAR,HEAR1104_5,500,500.6235962,3.164049225,246.5621649
HEAR,HEAR1104_5,250,249.7936249,2.911842405,234.0287333
HEAR,HEAR1104_5,100,100.2554779,2.413396513,195.3563928
HEAR,HEAR1104_5,50,50.72263718,-0.003877477,387.4127345
HEAR,HEAR1104_5,25,25.40066338,0.401242751,343.7741548
HEAR,HEAR1104_5,0,0.032543454,-18.29810726,2487.204949
HEAR,HEAR1109_6,2000,2000.174316,4.938549551,197.4620333
HEAR,HEAR1109_6,1000,999.6917725,4.371076246,183.0658102
HEAR,HEAR1109_6,500,501.0890503,4.320312569,127.7657772
HEAR,HEAR1109_6,250,250.922348,3.118375342,189.6340768
HEAR,HEAR1109_6,100,100.7542038,3.18393592,141.3617593
HEAR,HEAR1109_6,50,51.20871353,2.047403432,210.3353282
HEAR,HEAR1109_6,25,25.65281296,1.404385023,233.0928561
HEAR,HEAR1109_6,0,0.099859737,-0.973631851,495.3733287
HEAR,HEAR1115_7,2000,1999.091309,7.945112504,99.87565856
HEAR,HEAR1115_7,1000,999.6698608,5.202836096,161.0250832
HEAR,HEAR1115_7,500,501.1849365,5.731685197,89.86415668
HEAR,HEAR1115_7,250,250.9248962,3.851379706,187.1223489
HEAR,HEAR1115_7,100,100.6864548,4.176963109,167.0756176
HEAR,HEAR1115_7,50,51.09165573,3.792956413,174.5534797
HEAR,HEAR1115_7,25,25.60121918,3.596316494,151.6465276
HEAR,HEAR1115_7,0,0.028107554,1.926717524,249.9619348
RHOV,RHOV0831_1,2000,2000.164673,11.30123381,292.793872
RHOV,RHOV0831_1,1000,999.5791626,10.64092034,282.8237568
RHOV,RHOV0831_1,500,499.1268616,10.11599382,260.6479952
RHOV,RHOV0831_1,250,250.1275177,7.079066783,296.5510826
RHOV,RHOV0831_1,100,99.53455353,3.286501593,339.9703006
RHOV,RHOV0831_1,50,50.45604324,0.47673093,382.2633658
RHOV,RHOV0831_1,25,25.35617256,0.895240621,373.9548241
RHOV,RHOV0831_1,0,0.142761692,-1.850070375,424.3448769
RHOV,RHOV0912_2,2000,2000.626587,11.67866415,280.3504469
RHOV,RHOV0912_2,1000,1001.317261,10.43990373,259.7535685
RHOV,RHOV0912_2,500,499.4915161,9.750054528,252.4176639
RHOV,RHOV0912_2,250,250.0241241,6.109953457,297.0763828
RHOV,RHOV0912_2,100,99.51390076,3.804659077,309.843845
RHOV,RHOV0912_2,50,49.66331482,2.017316288,335.9782955
RHOV,RHOV0912_2,25,23.90345573,0.673750939,367.5002107
RHOV,RHOV0912_2,0,0.261871964,-1.826114109,451.4917143
RHOV,RHOV0912_3,2000,1999.000488,17.34260074,264.1175102
RHOV,RHOV0912_3,1000,999.164978,13.19976793,269.2573941
RHOV,RHOV0912_3,500,501.0339355,12.52342491,249.7435833
RHOV,RHOV0912_3,250,250.5618744,9.323460146,224.908935
RHOV,RHOV0912_3,100,100.4846344,4.40472203,100.5094652
RHOV,RHOV0912_3,50,51.03688431,2.586893298,93.95081511
RHOV,RHOV0912_3,25,25.61716461,-0.26635137,357.6551154
RHOV,RHOV0912_3,0,0.195291638,0.013961852,392.8419696
RHOV,RHOV1116_4,2000,2000.072632,5.985391414,170.0809672
RHOV,RHOV1116_4,1000,1000.244202,5.519097663,193.7864089
RHOV,RHOV1116_4,500,499.276123,5.620278652,184.6906233
RHOV,RHOV1116_4,250,249.9501038,6.003023452,121.4726202
RHOV,RHOV1116_4,100,100.1594009,2.341239552,254.1157333
RHOV,RHOV1116_4,50,50.85349274,3.109859038,179.3418908
RHOV,RHOV1116_4,25,25.52154732,2.238866367,189.5500052
RHOV,RHOV1116_4,0,0.134622455,0.919962218,284.9864854
RHOV,RHOV1118_5,2000,1999.855347,10.76464521,193.779137
RHOV,RHOV1118_5,1000,998.9950562,11.13943227,213.8111087
RHOV,RHOV1118_5,500,499.9627686,10.31263447,232.9747886
RHOV,RHOV1118_5,250,250.0370789,8.393712023,229.8340845
RHOV,RHOV1118_5,100,99.51113129,4.879824416,230.1985564
RHOV,RHOV1118_5,50,50.39653015,1.803630335,293.9412684
RHOV,RHOV1118_5,25,25.30078506,0.702468399,299.2534935
RHOV,RHOV1118_5,0,0.005917232,-0.625405936,-163.4572597
RHOV,RHOV0201_6,2000,1999.172119,7.278234488,237.3706487
RHOV,RHOV0201_6,1000,999.5772705,7.971005501,200.62455
RHOV,RHOV0201_6,500,500.7677307,6.048015159,209.4494993
RHOV,RHOV0201_6,250,249.7774506,4.427144565,230.5065875
RHOV,RHOV0201_6,100,100.2276382,2.242341101,290.1099012
RHOV,RHOV0201_6,50,51.01088715,1.20636177,323.0142001
RHOV,RHOV0201_6,25,25.56088829,-0.734546837,427.1906753
RHOV,RHOV0201_6,0,0.101332493,-1.885123389,483.6128715
SAAP,SAAP0912_1,2000,2000.619141,13.17760601,298.2825209
SAAP,SAAP0912_1,1000,1001.324402,10.57877629,298.917878
SAAP,SAAP0912_1,500,499.0998535,9.29463655,294.7549517
SAAP,SAAP0912_1,250,249.7355347,5.268604298,336.3802796
SAAP,SAAP0912_1,100,99.78894043,6.649992781,308.4884086
SAAP,SAAP0912_1,50,49.62722778,5.196091699,315.7084379
SAAP,SAAP0912_1,25,24.01382256,3.970612401,317.6679206
SAAP,SAAP0912_1,0,0.127973735,4.012480703,312.0541561
SAAP,SAAP0912_2,2000,1999.882324,7.542059386,293.2253947
SAAP,SAAP0912_2,1000,1000.042847,10.4145155,280.6507155
SAAP,SAAP0912_2,500,500.8240967,8.69713428,269.2022429
SAAP,SAAP0912_2,250,250.7206879,6.011422101,248.3023908
SAAP,SAAP0912_2,100,99.89015961,0.487929458,367.1947288
SAAP,SAAP0912_2,50,49.91550446,0.688425237,328.5971414
SAAP,SAAP0912_2,25,24.05557823,-0.772933118,610.4597115
SAAP,SAAP0912_2,0,0.151644781,-1.169944378,2519.998584
SAAP,SAAP0924_3,2000,1999.116333,18.28115676,255.0900712
SAAP,SAAP0924_3,1000,999.4736938,13.0666217,290.5771162
SAAP,SAAP0924_3,500,501.1420288,11.69743471,290.3656077
SAAP,SAAP0924_3,250,249.9388428,7.639269974,314.7792391
SAAP,SAAP0924_3,100,101.2543564,5.208882965,315.5690496
SAAP,SAAP0924_3,50,49.26562881,2.041301159,356.0956825
SAAP,SAAP0924_3,25,25.73942757,2.984548359,332.5873743
SAAP,SAAP0924_3,0,-0.065095045,1.671481444,348.0896465
SAAP,SAAP1026_4,2000,1998.861084,12.19041201,314.4612792
SAAP,SAAP1026_4,1000,1000.363831,11.65515512,304.8922463
SAAP,SAAP1026_4,500,500.8598938,10.46294951,289.2309617
SAAP,SAAP1026_4,250,250.3204346,7.134223213,320.118857
SAAP,SAAP1026_4,100,100.8493652,3.905832709,335.1551396
SAAP,SAAP1026_4,50,50.17798615,3.378508688,318.2145954
SAAP,SAAP1026_4,25,24.15769386,2.37129609,316.5091115
SAAP,SAAP1026_4,0,0.115385808,1.136259989,322.8256832
