species,seedlingID,alive_janH,alive_marchH,alive_mayH,alive_septH,aliveinjan,aliveinmarch,aliveinmay,aliveinsept
HEAR,12_bottom_HEAR,8.46,7.98,5.15,6.19,Y,Y,Y,Y
RHOV,12_bottom_RHOV,1.16,1.09,2.04,NA,Y,Y,Y,N
SAAP,12_bottom_SAAP,2.30,NA,NA,NA,Y,N,NA,NA
HEAR,12_middle_HEAR,3.95,4.41,3.86,2.87,Y,Y,Y,Y
RHOV,12_middle_RHOV,2.27,NA,NA,NA,Y,N,NA,NA
SAAP,12_middle_SAAP,5.17,3.42,12.18,13.22,Y,Y,Y,Y
CEOL,12_top_CEOL,4.64,5.30,2.19,2.58,Y,Y,Y,Y
HEAR,12_top_HEAR,5.66,4.85,6.74,9.99,Y,Y,Y,Y
RHOV,12_top_RHOV,3.72,3.69,NA,NA,Y,Y,N,NA
SAAP,12_top_SAAP,0.94,4.13,2.45,NA,Y,Y,Y,N
CEOL,13_bottom_CEOL,3.85,4.05,7.31,NA,Y,Y,Y,N
HEAR,13_bottom_HEAR,5.91,6.46,8.17,NA,Y,Y,Y,N
RHOV,13_bottom_RHOV,1.37,1.58,1.39,NA,Y,Y,Y,N
SAAP,13_bottom_SAAP,5.72,6.51,7.85,NA,Y,Y,Y,N
HEAR,13_middle_HEAR,4.09,3.68,4.93,NA,Y,Y,Y,N
RHOV,13_middle_RHOV,1.66,1.46,1.49,NA,Y,Y,Y,N
SAAP,13_middle_SAAP,3.71,3.85,9.77,NA,Y,Y,Y,N
CEOL,13_top_CEOL,1.44,NA,NA,NA,Y,N,NA,NA
HEAR,13_top_HEAR,4.36,3.20,5.32,NA,Y,Y,Y,N
RHOV,13_top_RHOV,0.56,0.05,0.47,NA,Y,Y,Y,N
SAAP,13_top_SAAP,4.81,3.60,5.37,1.45,Y,Y,Y,Y
CEOL,14_bottom_CEOL,3.79,3.95,4.91,NA,Y,Y,Y,N
HEAR,14_bottom_HEAR,7.10,2.89,4.62,NA,Y,Y,Y,N
RHOV,14_bottom_RHOV,1.83,0.67,0.66,NA,Y,Y,Y,N
SAAP,14_bottom_SAAP,7.58,NA,NA,NA,Y,N,NA,NA
HEAR,14_middle_HEAR,7.88,6.54,6.33,1.80,Y,Y,Y,Y
RHOV,14_middle_RHOV,1.09,NA,NA,NA,Y,N,NA,NA
SAAP,14_middle_SAAP,0.70,NA,NA,NA,Y,N,NA,NA
CEOL,14_top_CEOL,3.36,2.01,2.72,NA,Y,Y,Y,N
HEAR,14_top_HEAR,5.69,3.16,2.27,NA,Y,Y,Y,N
RHOV,14_top_RHOV,1.70,NA,NA,NA,Y,N,NA,NA
SAAP,14_top_SAAP,2.48,1.77,NA,NA,Y,Y,N,NA
CEOL,15_bottom_CEOL,3.62,0.29,NA,NA,Y,Y,N,NA
HEAR,15_bottom_HEAR,8.32,0.82,3.15,3.80,Y,Y,Y,Y
RHOV,15_bottom_RHOV,1.69,NA,NA,NA,Y,N,NA,NA
SAAP,15_bottom_SAAP,3.36,NA,NA,NA,Y,N,NA,NA
HEAR,15_middle_HEAR,6.88,0.88,0.95,1.45,Y,Y,Y,Y
RHOV,15_middle_RHOV,2.93,NA,NA,NA,Y,N,NA,NA
SAAP,15_middle_SAAP,3.30,NA,NA,NA,Y,N,NA,NA
CEOL,15_top_CEOL,3.50,NA,NA,NA,Y,N,NA,NA
HEAR,15_top_HEAR,6.80,3.94,4.55,3.23,Y,Y,Y,Y
RHOV,15_top_RHOV,2.50,NA,NA,NA,Y,N,NA,NA
SAAP,15_top_SAAP,4.68,NA,NA,NA,Y,N,NA,NA
CEOL,16_bottom_CEOL,1.66,0.56,1.27,NA,Y,Y,Y,N
HEAR,16_bottom_HEAR,6.60,6.97,NA,NA,Y,Y,N,NA
RHOV,16_bottom_RHOV,3.48,4.06,NA,NA,Y,Y,N,NA
SAAP,16_bottom_SAAP,4.22,4.48,7.42,7.11,Y,Y,Y,Y
HEAR,16_middle_HEAR,5.60,6.42,7.59,NA,Y,Y,Y,N
RHOV,16_middle_RHOV,2.23,2.61,2.20,NA,Y,Y,Y,N
SAAP,16_middle_SAAP,9.71,8.27,NA,NA,Y,Y,N,NA
CEOL,16_top_CEOL,4.93,4.28,8.96,NA,Y,Y,Y,N
HEAR,16_top_HEAR,4.67,3.49,5.19,4.53,Y,Y,Y,Y
RHOV,16_top_RHOV,1.62,0.88,NA,NA,Y,Y,N,NA
SAAP,16_top_SAAP,7.64,6.26,7.69,7.45,Y,Y,Y,Y
CEOL,17_bottom_CEOL,5.04,5.04,1.42,1.21,Y,Y,Y,Y
HEAR,17_bottom_HEAR,7.92,7.89,8.17,7.66,Y,Y,Y,Y
RHOV,17_bottom_RHOV,2.21,1.13,NA,NA,Y,Y,N,NA
SAAP,17_bottom_SAAP,4.57,3.26,NA,NA,Y,Y,N,NA
HEAR,17_middle_HEAR,6.91,3.72,5.92,6.50,Y,Y,Y,Y
RHOV,17_middle_RHOV,2.24,2.06,2.38,NA,Y,Y,Y,N
SAAP,17_middle_SAAP,8.19,8.87,7.52,NA,Y,Y,Y,N
CEOL,17_top_CEOL,4.03,3.43,6.64,6.78,Y,Y,Y,Y
HEAR,17_top_HEAR,6.05,6.28,10.36,11.96,Y,Y,Y,Y
RHOV,17_top_RHOV,2.36,1.94,1.04,1.01,Y,Y,Y,Y
SAAP,17_top_SAAP,1.22,NA,NA,NA,Y,N,NA,NA
CEOL,18_bottom_CEOL,4.87,NA,NA,NA,Y,N,NA,NA
HEAR,18_bottom_HEAR,4.82,0.70,NA,NA,Y,Y,N,NA
RHOV,18_bottom_RHOV,2.21,NA,NA,NA,Y,N,NA,NA
SAAP,18_bottom_SAAP,3.36,NA,NA,NA,Y,N,NA,NA
HEAR,18_middle_HEAR,7.61,NA,NA,NA,Y,N,NA,NA
RHOV,18_middle_RHOV,2.29,1.51,1.34,NA,Y,Y,Y,N
SAAP,18_middle_SAAP,1.34,1.29,3.52,NA,Y,Y,Y,N
CEOL,18_top_CEOL,3.09,NA,NA,NA,Y,N,NA,NA
HEAR,18_top_HEAR,5.26,NA,NA,NA,Y,N,NA,NA
RHOV,18_top_RHOV,2.53,1.63,1.40,NA,Y,Y,Y,N
SAAP,18_top_SAAP,5.79,NA,NA,NA,Y,N,NA,NA
CEOL,19_bottom_CEOL,2.73,NA,NA,NA,Y,N,NA,NA
HEAR,19_bottom_HEAR,4.41,4.37,2.51,NA,Y,Y,Y,N
RHOV,19_bottom_RHOV,3.90,NA,NA,NA,Y,N,NA,NA
SAAP,19_bottom_SAAP,4.45,6.98,NA,NA,Y,Y,N,NA
HEAR,19_middle_HEAR,10.61,8.93,8.99,NA,Y,Y,Y,N
RHOV,19_middle_RHOV,2.42,NA,NA,NA,Y,N,NA,NA
SAAP,19_middle_SAAP,4.26,4.84,NA,NA,Y,Y,N,NA
CEOL,19_top_CEOL,4.24,6.75,9.77,NA,Y,Y,Y,N
HEAR,19_top_HEAR,4.90,3.99,5.83,NA,Y,Y,Y,N
RHOV,19_top_RHOV,2.67,1.44,1.86,NA,Y,Y,Y,N
SAAP,19_top_SAAP,1.48,4.22,7.74,NA,Y,Y,Y,N
CEOL,2_bottom_CEOL,2.91,2.15,3.49,NA,Y,Y,Y,N
HEAR,2_bottom_HEAR,5.35,4.26,5.64,NA,Y,Y,Y,N
RHOV,2_bottom_RHOV,3.36,2.27,3.75,NA,Y,Y,Y,N
SAAP,2_bottom_SAAP,4.52,4.07,7.37,7.61,Y,Y,Y,Y
HEAR,2_middle_HEAR,6.25,5.99,6.90,8.87,Y,Y,Y,Y
RHOV,2_middle_RHOV,3.11,NA,NA,NA,Y,N,NA,NA
SAAP,2_middle_SAAP,3.39,2.78,10.07,11.31,Y,Y,Y,Y
CEOL,2_top_CEOL,3.69,4.01,5.88,7.09,Y,Y,Y,Y
HEAR,2_top_HEAR,9.81,7.78,10.15,NA,Y,Y,Y,N
RHOV,2_top_RHOV,2.47,2.90,2.40,NA,Y,Y,Y,N
SAAP,2_top_SAAP,6.04,5.66,12.92,13.00,Y,Y,Y,Y
CEOL,20_bottom_CEOL,1.55,2.52,0.37,NA,Y,Y,Y,N
HEAR,20_bottom_HEAR,6.16,6.77,8.26,7.24,Y,Y,Y,Y
RHOV,20_bottom_RHOV,3.65,2.35,NA,NA,Y,Y,N,NA
SAAP,20_bottom_SAAP,5.64,4.95,NA,NA,Y,Y,N,NA
HEAR,20_middle_HEAR,5.41,5.23,6.21,3.28,Y,Y,Y,Y
RHOV,20_middle_RHOV,2.51,NA,NA,NA,Y,N,NA,NA
SAAP,20_middle_SAAP,4.75,2.10,2.61,NA,Y,Y,Y,N
CEOL,20_top_CEOL,2.75,2.79,2.23,NA,Y,Y,Y,N
HEAR,20_top_HEAR,7.54,8.45,9.58,NA,Y,Y,Y,N
RHOV,20_top_RHOV,1.84,1.14,NA,NA,Y,Y,N,NA
SAAP,20_top_SAAP,4.10,3.15,7.06,NA,Y,Y,Y,N
CEOL,21_bottom_CEOL,2.21,3.08,3.36,1.74,Y,Y,Y,Y
HEAR,21_bottom_HEAR,3.83,NA,NA,NA,Y,N,NA,NA
RHOV,21_bottom_RHOV,1.38,1.95,NA,NA,Y,Y,N,NA
SAAP,21_bottom_SAAP,6.38,3.93,7.45,6.94,Y,Y,Y,Y
HEAR,21_middle_HEAR,6.26,6.29,NA,NA,Y,Y,N,NA
RHOV,21_middle_RHOV,3.00,2.38,1.98,NA,Y,Y,Y,N
SAAP,21_middle_SAAP,1.17,NA,NA,NA,Y,N,NA,NA
CEOL,21_top_CEOL,1.72,NA,NA,NA,Y,N,NA,NA
HEAR,21_top_HEAR,4.50,5.29,4.77,NA,Y,Y,Y,N
RHOV,21_top_RHOV,1.81,1.73,NA,NA,Y,Y,N,NA
SAAP,21_top_SAAP,3.00,3.58,7.12,NA,Y,Y,Y,N
CEOL,22_bottom_CEOL,1.95,NA,NA,NA,Y,N,NA,NA
HEAR,22_bottom_HEAR,9.20,NA,NA,NA,Y,N,NA,NA
RHOV,22_bottom_RHOV,3.13,1.06,1.07,NA,Y,Y,Y,N
SAAP,22_bottom_SAAP,1.90,1.32,NA,NA,Y,Y,N,NA
HEAR,22_middle_HEAR,5.13,4.24,4.93,NA,Y,Y,Y,N
RHOV,22_middle_RHOV,2.76,1.84,1.98,NA,Y,Y,Y,N
SAAP,22_middle_SAAP,3.95,3.67,3.87,NA,Y,Y,Y,N
CEOL,22_top_CEOL,NA,NA,NA,NA,NA,NA,NA,NA
HEAR,22_top_HEAR,7.73,6.12,6.22,NA,Y,Y,Y,N
RHOV,22_top_RHOV,1.88,1.89,NA,NA,Y,Y,N,NA
SAAP,22_top_SAAP,1.78,2.67,5.16,5.66,Y,Y,Y,Y
CEOL,23_bottom_CEOL,3.12,2.55,3.11,NA,Y,Y,Y,N
HEAR,23_bottom_HEAR,9.06,9.61,11.56,13.19,Y,Y,Y,Y
RHOV,23_bottom_RHOV,3.02,2.21,2.82,NA,Y,Y,Y,N
SAAP,23_bottom_SAAP,4.52,4.20,5.32,NA,Y,Y,Y,N
HEAR,23_middle_HEAR,5.10,7.23,6.98,NA,Y,Y,Y,N
RHOV,23_middle_RHOV,2.87,2.16,NA,NA,Y,Y,N,NA
SAAP,23_middle_SAAP,1.50,1.81,2.57,NA,Y,Y,Y,N
CEOL,23_top_CEOL,2.53,NA,NA,NA,Y,N,NA,NA
HEAR,23_top_HEAR,3.35,4.11,1.54,3.08,Y,Y,Y,Y
RHOV,23_top_RHOV,2.83,2.07,NA,NA,Y,Y,N,NA
SAAP,23_top_SAAP,1.58,1.83,5.71,8.20,Y,Y,Y,Y
CEOL,24_bottom_CEOL,1.32,NA,NA,NA,Y,N,NA,NA
HEAR,24_bottom_HEAR,3.03,2.91,3.47,3.51,Y,Y,Y,Y
RHOV,24_bottom_RHOV,1.42,NA,NA,NA,Y,N,NA,NA
SAAP,24_bottom_SAAP,3.94,5.37,16.68,NA,Y,Y,Y,N
HEAR,24_middle_HEAR,6.23,4.78,6.22,NA,Y,Y,Y,N
RHOV,24_middle_RHOV,3.02,2.67,3.11,NA,Y,Y,Y,N
SAAP,24_middle_SAAP,1.31,1.95,1.95,3.22,Y,Y,Y,Y
CEOL,24_top_CEOL,1.77,0.78,1.67,NA,Y,Y,Y,N
HEAR,24_top_HEAR,5.55,4.45,5.39,3.34,Y,Y,Y,Y
RHOV,24_top_RHOV,2.38,NA,NA,NA,Y,N,NA,NA
SAAP,24_top_SAAP,2.74,1.80,4.78,NA,Y,Y,Y,N
CEOL,25_bottom_CEOL,3.48,NA,NA,NA,Y,N,NA,NA
HEAR,25_bottom_HEAR,5.98,NA,NA,NA,Y,N,NA,NA
RHOV,25_bottom_RHOV,1.57,0.85,NA,NA,Y,Y,N,NA
SAAP,25_bottom_SAAP,4.34,4.80,11.03,2.06,Y,Y,Y,Y
HEAR,25_middle_HEAR,6.91,6.72,NA,NA,Y,Y,N,NA
RHOV,25_middle_RHOV,3.51,NA,NA,NA,Y,N,NA,NA
SAAP,25_middle_SAAP,4.06,2.40,3.43,NA,Y,Y,Y,N
CEOL,25_top_CEOL,3.00,1.91,NA,NA,Y,Y,N,NA
HEAR,25_top_HEAR,6.07,2.16,NA,NA,Y,Y,N,NA
RHOV,25_top_RHOV,3.32,1.48,NA,NA,Y,Y,N,NA
SAAP,25_top_SAAP,6.15,5.73,6.62,NA,Y,Y,Y,N
CEOL,26_bottom_CEOL,2.28,1.91,NA,NA,Y,Y,N,NA
HEAR,26_bottom_HEAR,8.56,7.76,5.02,NA,Y,Y,Y,N
RHOV,26_bottom_RHOV,1.94,2.06,NA,NA,Y,Y,N,NA
SAAP,26_bottom_SAAP,3.76,4.21,NA,NA,Y,Y,N,NA
HEAR,26_middle_HEAR,4.74,4.34,NA,NA,Y,Y,N,NA
RHOV,26_middle_RHOV,3.51,2.40,NA,NA,Y,Y,N,NA
SAAP,26_middle_SAAP,4.25,NA,NA,NA,Y,N,NA,NA
CEOL,26_top_CEOL,2.15,2.17,NA,NA,Y,Y,N,NA
HEAR,26_top_HEAR,7.20,5.76,NA,NA,Y,Y,N,NA
RHOV,26_top_RHOV,1.68,NA,NA,NA,Y,N,NA,NA
SAAP,26_top_SAAP,7.94,7.26,NA,NA,Y,Y,N,NA
CEOL,27_bottom_CEOL,3.38,3.50,NA,NA,Y,Y,N,NA
HEAR,27_bottom_HEAR,5.43,5.81,NA,NA,Y,Y,N,NA
RHOV,27_bottom_RHOV,2.96,2.57,NA,NA,Y,Y,N,NA
SAAP,27_bottom_SAAP,3.47,2.84,NA,NA,Y,Y,N,NA
HEAR,27_middle_HEAR,7.34,6.00,7.33,NA,Y,Y,Y,N
RHOV,27_middle_RHOV,1.74,0.90,NA,NA,Y,Y,N,NA
SAAP,27_middle_SAAP,0.88,0.23,NA,NA,Y,Y,N,NA
CEOL,27_top_CEOL,2.39,2.53,2.48,NA,Y,Y,Y,N
HEAR,27_top_HEAR,3.08,2.09,NA,NA,Y,Y,N,NA
RHOV,27_top_RHOV,2.68,2.35,2.89,NA,Y,Y,Y,N
SAAP,27_top_SAAP,4.77,5.14,NA,NA,Y,Y,N,NA
CEOL,28_bottom_CEOL,0.91,1.65,NA,NA,Y,Y,N,NA
HEAR,28_bottom_HEAR,5.89,5.07,NA,NA,Y,Y,N,NA
RHOV,28_bottom_RHOV,3.06,0.84,NA,NA,Y,Y,N,NA
SAAP,28_bottom_SAAP,3.10,2.47,NA,NA,Y,Y,N,NA
HEAR,28_middle_HEAR,7.88,5.64,NA,NA,Y,Y,N,NA
RHOV,28_middle_RHOV,2.12,NA,NA,NA,Y,N,NA,NA
SAAP,28_middle_SAAP,4.79,5.32,7.69,NA,Y,Y,Y,N
CEOL,28_top_CEOL,3.77,NA,NA,NA,Y,N,NA,NA
HEAR,28_top_HEAR,4.04,5.01,5.09,NA,Y,Y,Y,N
RHOV,28_top_RHOV,1.04,NA,NA,NA,Y,N,NA,NA
SAAP,28_top_SAAP,4.13,4.13,4.98,NA,Y,Y,Y,N
CEOL,29_bottom_CEOL,3.39,NA,NA,NA,Y,N,NA,NA
HEAR,29_bottom_HEAR,7.20,3.59,NA,NA,Y,Y,N,NA
RHOV,29_bottom_RHOV,2.69,1.85,NA,NA,Y,Y,N,NA
SAAP,29_bottom_SAAP,4.45,1.78,NA,NA,Y,Y,N,NA
HEAR,29_middle_HEAR,6.72,1.66,NA,NA,Y,Y,N,NA
RHOV,29_middle_RHOV,2.10,1.81,NA,NA,Y,Y,N,NA
SAAP,29_middle_SAAP,1.93,1.93,3.75,NA,Y,Y,Y,N
CEOL,29_top_CEOL,3.00,3.85,5.92,NA,Y,Y,Y,N
HEAR,29_top_HEAR,2.34,6.64,6.26,NA,Y,Y,Y,N
RHOV,29_top_RHOV,1.77,1.23,NA,NA,Y,Y,N,NA
SAAP,29_top_SAAP,2.38,4.00,6.66,2.38,Y,Y,Y,Y
CEOL,3_bottom_CEOL,0.65,0.55,0.71,NA,Y,Y,Y,N
HEAR,3_bottom_HEAR,7.04,7.23,9.30,NA,Y,Y,Y,N
RHOV,3_bottom_RHOV,1.32,0.51,1.05,NA,Y,Y,Y,N
SAAP,3_bottom_SAAP,3.59,3.94,6.89,NA,Y,Y,Y,N
HEAR,3_middle_HEAR,5.07,5.64,7.05,9.78,Y,Y,Y,Y
RHOV,3_middle_RHOV,1.19,0.70,1.52,NA,Y,Y,Y,N
SAAP,3_middle_SAAP,6.95,1.80,5.06,NA,Y,Y,Y,N
CEOL,3_top_CEOL,2.21,3.05,3.25,NA,Y,Y,Y,N
HEAR,3_top_HEAR,6.81,2.01,4.59,NA,Y,Y,Y,N
RHOV,3_top_RHOV,2.07,2.32,3.05,NA,Y,Y,Y,N
SAAP,3_top_SAAP,6.21,7.38,12.89,13.75,Y,Y,Y,Y
CEOL,30_bottom_CEOL,1.24,NA,NA,NA,Y,N,NA,NA
HEAR,30_bottom_HEAR,4.84,1.26,3.29,NA,Y,Y,Y,N
RHOV,30_bottom_RHOV,2.37,NA,NA,NA,Y,N,NA,NA
SAAP,30_bottom_SAAP,3.18,2.87,2.89,NA,Y,Y,Y,N
HEAR,30_middle_HEAR,4.60,3.45,NA,NA,Y,Y,N,NA
RHOV,30_middle_RHOV,1.48,NA,NA,NA,Y,N,NA,NA
SAAP,30_middle_SAAP,2.10,0.88,5.19,6.14,Y,Y,Y,Y
CEOL,30_top_CEOL,2.40,2.05,NA,NA,Y,Y,N,NA
HEAR,30_top_HEAR,6.66,2.84,2.35,NA,Y,Y,Y,N
RHOV,30_top_RHOV,3.04,2.49,NA,NA,Y,Y,N,NA
SAAP,30_top_SAAP,4.22,3.97,3.97,7.15,Y,Y,Y,Y
CEOL,31_bottom_CEOL,2.28,3.56,NA,NA,Y,Y,N,NA
HEAR,31_bottom_HEAR,4.15,5.22,NA,NA,Y,Y,N,NA
RHOV,31_bottom_RHOV,1.47,1.94,NA,NA,Y,Y,N,NA
SAAP,31_bottom_SAAP,3.96,7.81,0.79,NA,Y,Y,Y,N
HEAR,31_middle_HEAR,6.01,5.92,6.18,6.19,Y,Y,Y,Y
RHOV,31_middle_RHOV,1.61,2.04,1.96,NA,Y,Y,Y,N
SAAP,31_middle_SAAP,4.11,6.10,7.45,8.59,Y,Y,Y,Y
CEOL,31_top_CEOL,1.61,2.07,2.89,NA,Y,Y,Y,N
HEAR,31_top_HEAR,7.12,6.50,6.52,NA,Y,Y,Y,N
RHOV,31_top_RHOV,1.71,1.49,NA,NA,Y,Y,N,NA
SAAP,31_top_SAAP,6.89,4.79,NA,NA,Y,Y,N,NA
CEOL,32_bottom_CEOL,0.36,1.50,1.47,NA,Y,Y,Y,N
HEAR,32_bottom_HEAR,7.77,7.73,6.15,NA,Y,Y,Y,N
RHOV,32_bottom_RHOV,0.79,NA,NA,NA,Y,N,NA,NA
SAAP,32_bottom_SAAP,2.56,2.50,NA,NA,Y,Y,N,NA
HEAR,32_middle_HEAR,5.94,NA,NA,NA,Y,N,NA,NA
RHOV,32_middle_RHOV,2.07,NA,NA,NA,Y,N,NA,NA
SAAP,32_middle_SAAP,2.35,3.41,NA,NA,Y,Y,N,NA
CEOL,32_top_CEOL,1.39,1.61,NA,NA,Y,Y,N,NA
HEAR,32_top_HEAR,5.12,4.72,NA,NA,Y,Y,N,NA
RHOV,32_top_RHOV,1.15,NA,NA,NA,Y,N,NA,NA
SAAP,32_top_SAAP,1.41,2.59,3.46,NA,Y,Y,Y,N
CEOL,33_bottom_CEOL,2.77,2.61,2.92,NA,Y,Y,Y,N
HEAR,33_bottom_HEAR,9.11,7.54,NA,NA,Y,Y,N,NA
RHOV,33_bottom_RHOV,2.25,NA,NA,NA,Y,N,NA,NA
SAAP,33_bottom_SAAP,5.55,4.76,6.94,7.12,Y,Y,Y,Y
HEAR,33_middle_HEAR,3.73,3.20,5.46,NA,Y,Y,Y,N
RHOV,33_middle_RHOV,1.41,NA,NA,NA,Y,N,NA,NA
SAAP,33_middle_SAAP,4.64,4.74,10.58,10.03,Y,Y,Y,Y
CEOL,33_top_CEOL,2.74,3.83,NA,NA,Y,Y,N,NA
HEAR,33_top_HEAR,4.24,NA,NA,NA,Y,N,NA,NA
RHOV,33_top_RHOV,1.63,0.73,NA,NA,Y,Y,N,NA
SAAP,33_top_SAAP,3.33,4.91,4.91,5.84,Y,Y,Y,Y
CEOL,34_bottom_CEOL,1.60,1.34,1.65,NA,Y,Y,Y,N
HEAR,34_bottom_HEAR,6.36,4.87,4.84,NA,Y,Y,Y,N
RHOV,34_bottom_RHOV,1.69,NA,NA,NA,Y,N,NA,NA
SAAP,34_bottom_SAAP,5.12,5.03,8.95,9.59,Y,Y,Y,Y
HEAR,34_middle_HEAR,8.89,6.73,7.52,8.20,Y,Y,Y,Y
RHOV,34_middle_RHOV,2.86,NA,NA,NA,Y,N,NA,NA
SAAP,34_middle_SAAP,4.39,3.67,NA,NA,Y,Y,N,NA
CEOL,34_top_CEOL,2.81,2.84,NA,NA,Y,Y,N,NA
HEAR,34_top_HEAR,5.74,5.11,NA,NA,Y,Y,N,NA
RHOV,34_top_RHOV,1.41,0.70,NA,NA,Y,Y,N,NA
SAAP,34_top_SAAP,3.64,2.91,2.91,9.08,Y,Y,Y,Y
HEAR,35_bottom_HEAR,6.00,1.51,NA,NA,Y,Y,N,NA
RHOV,35_bottom_RHOV,1.62,4.97,6.73,NA,Y,Y,Y,N
SAAP,35_bottom_SAAP,4.83,2.95,NA,NA,Y,Y,N,NA
CEOL,35_middle_CEOL,1.67,1.67,6.13,NA,Y,Y,Y,N
HEAR,35_middle_HEAR,4.84,4.66,NA,NA,Y,Y,N,NA
RHOV,35_middle_RHOV,2.05,NA,NA,NA,Y,N,NA,NA
SAAP,35_middle_SAAP,5.61,3.26,NA,NA,Y,Y,N,NA
CEOL,35_top_CEOL,2.62,2.50,NA,NA,Y,Y,N,NA
HEAR,35_top_HEAR,6.76,6.51,NA,NA,Y,Y,N,NA
RHOV,35_top_RHOV,2.13,NA,NA,NA,Y,N,NA,NA
SAAP,35_top_SAAP,5.12,5.19,6.66,7.89,Y,Y,Y,Y
CEOL,36_bottom_CEOL,1.81,NA,NA,NA,Y,N,NA,NA
HEAR,36_bottom_HEAR,6.75,5.88,7.96,NA,Y,Y,Y,N
RHOV,36_bottom_RHOV,2.20,NA,NA,NA,Y,N,NA,NA
SAAP,36_bottom_SAAP,2.83,2.04,4.51,NA,Y,Y,Y,N
HEAR,36_middle_HEAR,8.85,6.32,NA,NA,Y,Y,N,NA
RHOV,36_middle_RHOV,3.35,1.92,2.78,NA,Y,Y,Y,N
SAAP,36_middle_SAAP,5.30,4.28,6.70,NA,Y,Y,Y,N
CEOL,36_top_CEOL,4.27,5.17,5.16,NA,Y,Y,Y,N
HEAR,36_top_HEAR,6.67,7.32,4.14,NA,Y,Y,Y,N
RHOV,36_top_RHOV,3.04,1.66,NA,NA,Y,Y,N,NA
SAAP,36_top_SAAP,5.29,5.24,5.78,NA,Y,Y,Y,N
CEOL,4_bottom_CEOL,1.64,0.39,NA,NA,Y,Y,N,NA
HEAR,4_bottom_HEAR,9.00,9.44,NA,NA,Y,Y,N,NA
RHOV,4_bottom_RHOV,3.51,2.31,NA,NA,Y,Y,N,NA
SAAP,4_bottom_SAAP,2.60,3.33,5.79,6.12,Y,Y,Y,Y
HEAR,4_middle_HEAR,6.66,6.11,6.40,6.76,Y,Y,Y,Y
RHOV,4_middle_RHOV,2.73,1.60,NA,NA,Y,Y,N,NA
SAAP,4_middle_SAAP,3.37,3.27,6.24,6.93,Y,Y,Y,Y
CEOL,4_top_CEOL,3.59,3.23,NA,NA,Y,Y,N,NA
HEAR,4_top_HEAR,6.57,6.08,5.79,NA,Y,Y,Y,N
RHOV,4_top_RHOV,3.77,1.83,2.17,NA,Y,Y,Y,N
